world,n_train,cohort_seed,subset_seed,model_seed,model,mae,trainable_parameters
informative_observation,20,104,204,304,representation_linear,0.7252367673480876,20
informative_observation,20,104,204,304,representation_mlp,0.8536203777511642,673
informative_observation,20,105,205,305,engineered_linear,0.5675315880649977,17
informative_observation,20,105,205,305,flow_jump,0.5938225984573364,6967
informative_observation,20,105,205,305,flow_jump_observation,0.5961124300956726,7642
informative_observation,20,105,205,305,gradient_boosting,0.2972803990363215,0
informative_observation,20,105,205,305,gru_from_scratch,0.5509177446365356,4455
informative_observation,20,105,205,305,representation_linear,0.6073416892829152,20
informative_observation,20,105,205,305,representation_mlp,0.9940160106770856,673
informative_observation,40,101,201,301,engineered_linear,0.5844818498739536,17
informative_observation,40,101,201,301,flow_jump,0.6810365319252014,6967
informative_observation,40,101,201,301,flow_jump_observation,0.6811863780021667,7642
informative_observation,40,101,201,301,gradient_boosting,0.2586949751212719,0
informative_observation,40,101,201,301,gru_from_scratch,0.6723111867904663,4455
informative_observation,40,101,201,301,representation_linear,0.6033120039837567,20
informative_observation,40,101,201,301,representation_mlp,0.7185095867871715,673
informative_observation,40,102,202,302,engineered_linear,0.5857946878615911,17
informative_observation,40,102,202,302,flow_jump,0.4581494331359863,6967
informative_observation,40,102,202,302,flow_jump_observation,0.4545311331748962,7642
informative_observation,40,102,202,302,gradient_boosting,0.27335332816481,0
informative_observation,40,102,202,302,gru_from_scratch,0.4595746099948883,4455
informative_observation,40,102,202,302,representation_linear,0.6317204278506015,20
informative_observation,40,102,202,302,representation_mlp,0.7550387295059396,673
informative_observation,40,103,203,303,engineered_linear,0.592304394047183,17
informative_observation,40,103,203,303,flow_jump,0.7127693891525269,6967
informative_observation,40,103,203,303,flow_jump_observation,0.7133138179779053,7642
informative_observation,40,103,203,303,gradient_boosting,0.2906654400345965,0
informative_observation,40,103,203,303,gru_from_scratch,0.6130922436714172,4455
informative_observation,40,103,203,303,representation_linear,0.6202999805829827,20
informative_observation,40,103,203,303,representation_mlp,0.6690816865866891,673
informative_observation,40,104,204,304,engineered_linear,0.6284111821849284,17
informative_observation,40,104,204,304,flow_jump,0.6291261315345764,6967
informative_observation,40,104,204,304,flow_jump_observation,0.6282479763031006,7642
informative_observation,40,104,204,304,gradient_boosting,0.2649270652471597,0
informative_observation,40,104,204,304,gru_from_scratch,0.5999733209609985,4455
informative_observation,40,104,204,304,representation_linear,0.6949111390683058,20
informative_observation,40,104,204,304,representation_mlp,0.6900289529362611,673
informative_observation,40,105,205,305,engineered_linear,0.5739021877531858,17
informative_observation,40,105,205,305,flow_jump,0.6920798420906067,6967
informative_observation,40,105,205,305,flow_jump_observation,0.6918121576309204,7642
informative_observation,40,105,205,305,gradient_boosting,0.2802035449328948,0
informative_observation,40,105,205,305,gru_from_scratch,0.5751873254776001,4455
informative_observation,40,105,205,305,representation_linear,0.5971551584863685,20
informative_observation,40,105,205,305,representation_mlp,0.6438375809579359,673
informative_observation,80,101,201,301,engineered_linear,0.582673436454972,17
informative_observation,80,101,201,301,flow_jump,0.3800892829895019,6967
informative_observation,80,101,201,301,flow_jump_observation,0.3807691037654876,7642
informative_observation,80,101,201,301,gradient_boosting,0.2411032826472632,0
informative_observation,80,101,201,301,gru_from_scratch,0.4817033410072326,4455
informative_observation,80,101,201,301,representation_linear,0.6145139455776611,20
informative_observation,80,101,201,301,representation_mlp,0.5824624921664636,673
informative_observation,80,102,202,302,engineered_linear,0.6003914659731638,17
informative_observation,80,102,202,302,flow_jump,0.4491568505764007,6967
informative_observation,80,102,202,302,flow_jump_observation,0.4449097514152527,7642
informative_observation,80,102,202,302,gradient_boosting,0.2501154957458146,0
informative_observation,80,102,202,302,gru_from_scratch,0.5037611126899719,4455
informative_observation,80,102,202,302,representation_linear,0.6642979694871005,20
informative_observation,80,102,202,302,representation_mlp,0.6118700689653377,673
informative_observation,80,103,203,303,engineered_linear,0.5820515034793179,17
informative_observation,80,103,203,303,flow_jump,0.6849482655525208,6967
informative_observation,80,103,203,303,flow_jump_observation,0.686697781085968,7642
informative_observation,80,103,203,303,gradient_boosting,0.2493560511920156,0
informative_observation,80,103,203,303,gru_from_scratch,0.593447744846344,4455
informative_observation,80,103,203,303,representation_linear,0.6174568863708148,20
informative_observation,80,103,203,303,representation_mlp,0.6161613425176993,673
informative_observation,80,104,204,304,engineered_linear,0.6073904534980725,17
informative_observation,80,104,204,304,flow_jump,0.6028361916542053,6967
informative_observation,80,104,204,304,flow_jump_observation,0.5946593284606934,7642
informative_observation,80,104,204,304,gradient_boosting,0.2335506950895862,0
informative_observation,80,104,204,304,gru_from_scratch,0.5057581067085266,4455
informative_observation,80,104,204,304,representation_linear,0.681886313807047,20
informative_observation,80,104,204,304,representation_mlp,0.6297676894226688,673
informative_observation,80,105,205,305,engineered_linear,0.581893643794687,17
informative_observation,80,105,205,305,flow_jump,0.5194072127342224,6967
informative_observation,80,105,205,305,flow_jump_observation,0.5125607252120972,7642
informative_observation,80,105,205,305,gradient_boosting,0.2422185983600132,0
informative_observation,80,105,205,305,gru_from_scratch,0.4503128826618194,4455
informative_observation,80,105,205,305,representation_linear,0.6506729426841016,20
informative_observation,80,105,205,305,representation_mlp,0.5862625461719188,673
informative_observation,100,101,201,301,engineered_linear,0.5975313923212113,17
informative_observation,100,101,201,301,flow_jump,0.3930202722549438,6967
informative_observation,100,101,201,301,flow_jump_observation,0.3919225335121155,7642
informative_observation,100,101,201,301,gradient_boosting,0.2294275327855492,0
informative_observation,100,101,201,301,gru_from_scratch,0.4804427623748779,4455
informative_observation,100,101,201,301,representation_linear,0.645936902292351,20
informative_observation,100,101,201,301,representation_mlp,0.6355582755933303,673
informative_observation,100,102,202,302,engineered_linear,0.5982654265911175,17
informative_observation,100,102,202,302,flow_jump,0.4404313266277313,6967
informative_observation,100,102,202,302,flow_jump_observation,0.439765989780426,7642
informative_observation,100,102,202,302,gradient_boosting,0.2325799936204953,0
informative_observation,100,102,202,302,gru_from_scratch,0.473755419254303,4455
informative_observation,100,102,202,302,representation_linear,0.6611373166285508,20
informative_observation,100,102,202,302,representation_mlp,0.643920212260795,673
informative_observation,100,103,203,303,engineered_linear,0.6134619549002556,17
informative_observation,100,103,203,303,flow_jump,0.4865238070487976,6967
informative_observation,100,103,203,303,flow_jump_observation,0.4801084101200104,7642
informative_observation,100,103,203,303,gradient_boosting,0.2303015184674519,0
informative_observation,100,103,203,303,gru_from_scratch,0.4814415276050567,4455
informative_observation,100,103,203,303,representation_linear,0.7052247860593769,20
informative_observation,100,103,203,303,representation_mlp,0.6488045134605412,673
informative_observation,100,104,204,304,engineered_linear,0.5907500264066429,17
informative_observation,100,104,204,304,flow_jump,0.4151743352413177,6967
informative_observation,100,104,204,304,flow_jump_observation,0.4081895351409912,7642
informative_observation,100,104,204,304,gradient_boosting,0.2383528064188635,0
informative_observation,100,104,204,304,gru_from_scratch,0.5104515552520752,4455
informative_observation,100,104,204,304,representation_linear,0.6568577945877507,20
informative_observation,100,104,204,304,representation_mlp,0.6206067002503747,673
informative_observation,100,105,205,305,engineered_linear,0.6123490344519064,17
informative_observation,100,105,205,305,flow_jump,0.4997662305831909,6967
informative_observation,100,105,205,305,flow_jump_observation,0.4912190437316894,7642
informative_observation,100,105,205,305,gradient_boosting,0.2317823376696643,0
informative_observation,100,105,205,305,gru_from_scratch,0.4452402591705322,4455
informative_observation,100,105,205,305,representation_linear,0.6708987217733413,20
informative_observation,100,105,205,305,representation_mlp,0.5793895678085442,673
jumps,5,101,201,301,engineered_linear,1.1014370490174594,17
jumps,5,101,201,301,flow_jump,1.1140356063842771,6967
jumps,5,101,201,301,flow_jump_observation,1.1141432523727417,7642
jumps,5,101,201,301,gradient_boosting,0.9253905234646176,0
jumps,5,101,201,301,gru_from_scratch,1.047789216041565,4455
jumps,5,101,201,301,representation_linear,1.153495650697458,20
jumps,5,101,201,301,representation_mlp,1.9570161386479137,673
jumps,5,102,202,302,engineered_linear,1.0702021955415373,17
jumps,5,102,202,302,flow_jump,1.3710919618606567,6967
jumps,5,102,202,302,flow_jump_observation,1.370943307876587,7642
jumps,5,102,202,302,gradient_boosting,0.7086813095687768,0
jumps,5,102,202,302,gru_from_scratch,0.9483969211578368,4455
jumps,5,102,202,302,representation_linear,1.1513453503854447,20
jumps,5,102,202,302,representation_mlp,1.5596703923643898,673
jumps,5,103,203,303,engineered_linear,1.0092115785984337,17
jumps,5,103,203,303,flow_jump,1.1596946716308594,6967
jumps,5,103,203,303,flow_jump_observation,1.1525973081588743,7642
jumps,5,103,203,303,gradient_boosting,0.6532398016411873,0
jumps,5,103,203,303,gru_from_scratch,1.0188871622085571,4455
jumps,5,103,203,303,representation_linear,1.0635451928210666,20
jumps,5,103,203,303,representation_mlp,2.755520304126174,673
jumps,5,104,204,304,engineered_linear,1.1116155941968626,17
jumps,5,104,204,304,flow_jump,1.0432686805725098,6967
jumps,5,104,204,304,flow_jump_observation,1.043956995010376,7642
jumps,5,104,204,304,gradient_boosting,0.6623380300056307,0
jumps,5,104,204,304,gru_from_scratch,1.1439683437347412,4455
jumps,5,104,204,304,representation_linear,1.310408170012783,20
jumps,5,104,204,304,representation_mlp,3.78764591426844,673
jumps,5,105,205,305,engineered_linear,1.0337400288924434,17
jumps,5,105,205,305,flow_jump,1.2212730646133425,6967
jumps,5,105,205,305,flow_jump_observation,1.221306324005127,7642
jumps,5,105,205,305,gradient_boosting,0.8352119485927629,0
jumps,5,105,205,305,gru_from_scratch,1.01966655254364,4455
jumps,5,105,205,305,representation_linear,1.0906610883801922,20
jumps,5,105,205,305,representation_mlp,2.4065330666780818,673
jumps,10,101,201,301,engineered_linear,0.9902441395579692,17
jumps,10,101,201,301,flow_jump,0.9720093607902528,6967
jumps,10,101,201,301,flow_jump_observation,0.968352198600769,7642
jumps,10,101,201,301,gradient_boosting,0.6075817205013296,0
jumps,10,101,201,301,gru_from_scratch,1.0373624563217163,4455
jumps,10,101,201,301,representation_linear,1.1594036484122094,20
jumps,10,101,201,301,representation_mlp,2.0262399524791546,673
jumps,10,102,202,302,engineered_linear,0.9885533351367654,17
jumps,10,102,202,302,flow_jump,1.3379908800125122,6967
jumps,10,102,202,302,flow_jump_observation,1.3375931978225708,7642
jumps,10,102,202,302,gradient_boosting,0.6012744400089748,0
jumps,10,102,202,302,gru_from_scratch,0.9772605299949646,4455
jumps,10,102,202,302,representation_linear,1.0754730122041845,20
jumps,10,102,202,302,representation_mlp,3.990213488559472,673
jumps,10,103,203,303,engineered_linear,0.8934394130204522,17
jumps,10,103,203,303,flow_jump,0.927580177783966,6967
jumps,10,103,203,303,flow_jump_observation,0.9279019236564636,7642
jumps,10,103,203,303,gradient_boosting,0.6301155639048532,0
jumps,10,103,203,303,gru_from_scratch,0.9091449975967408,4455
jumps,10,103,203,303,representation_linear,1.0046987950946855,20
jumps,10,103,203,303,representation_mlp,2.329099266991375,673
jumps,10,104,204,304,engineered_linear,1.0530478774444934,17
jumps,10,104,204,304,flow_jump,1.0645458698272705,6967
jumps,10,104,204,304,flow_jump_observation,1.0644959211349487,7642
jumps,10,104,204,304,gradient_boosting,0.5383815797332662,0
jumps,10,104,204,304,gru_from_scratch,1.086135745048523,4455
jumps,10,104,204,304,representation_linear,1.215675623776212,20
jumps,10,104,204,304,representation_mlp,2.6683904766915894,673
jumps,10,105,205,305,engineered_linear,1.0384788364422126,17
jumps,10,105,205,305,flow_jump,1.0935767889022827,6967
jumps,10,105,205,305,flow_jump_observation,1.0934816598892212,7642
jumps,10,105,205,305,gradient_boosting,0.5518866799414445,0
jumps,10,105,205,305,gru_from_scratch,0.9394769072532654,4455
jumps,10,105,205,305,representation_linear,1.1543665767876303,20
jumps,10,105,205,305,representation_mlp,1.6720396562993125,673
jumps,20,101,201,301,engineered_linear,0.9620532086671644,17
jumps,20,101,201,301,flow_jump,1.0411261320114136,6967
jumps,20,101,201,301,flow_jump_observation,1.0411139726638794,7642
jumps,20,101,201,301,gradient_boosting,0.4910838640518555,0
jumps,20,101,201,301,gru_from_scratch,1.009593486785889,4455
jumps,20,101,201,301,representation_linear,1.0577279751319717,20
jumps,20,101,201,301,representation_mlp,1.9696805255887533,673
jumps,20,102,202,302,engineered_linear,1.0461190161418632,17
jumps,20,102,202,302,flow_jump,1.352005958557129,6967
jumps,20,102,202,302,flow_jump_observation,1.3517862558364868,7642
jumps,20,102,202,302,gradient_boosting,0.4720121130775873,0
jumps,20,102,202,302,gru_from_scratch,1.099557876586914,4455
jumps,20,102,202,302,representation_linear,1.2041212452578125,20
jumps,20,102,202,302,representation_mlp,1.7609989703763451,673
jumps,20,103,203,303,engineered_linear,0.9379107353301032,17
jumps,20,103,203,303,flow_jump,1.0728731155395508,6967
jumps,20,103,203,303,flow_jump_observation,1.0725001096725464,7642
jumps,20,103,203,303,gradient_boosting,0.5033682123796676,0
jumps,20,103,203,303,gru_from_scratch,1.0006980895996094,4455
jumps,20,103,203,303,representation_linear,1.0381694539622734,20
jumps,20,103,203,303,representation_mlp,1.7326085588979163,673
jumps,20,104,204,304,engineered_linear,0.9421906694906004,17
jumps,20,104,204,304,flow_jump,1.000491738319397,6967
jumps,20,104,204,304,flow_jump_observation,1.0024468898773191,7642
jumps,20,104,204,304,gradient_boosting,0.6891541962103059,0
jumps,20,104,204,304,gru_from_scratch,1.0570728778839111,4455
jumps,20,104,204,304,representation_linear,1.152064170110218,20
jumps,20,104,204,304,representation_mlp,1.793990774912663,673
jumps,20,105,205,305,engineered_linear,0.987862969450542,17
jumps,20,105,205,305,flow_jump,1.188221096992493,6967
jumps,20,105,205,305,flow_jump_observation,1.188234567642212,7642
jumps,20,105,205,305,gradient_boosting,0.4922836470664996,0
jumps,20,105,205,305,gru_from_scratch,0.9268466234207152,4455
jumps,20,105,205,305,representation_linear,1.1007066504712666,20
jumps,20,105,205,305,representation_mlp,2.0894676891946613,673
jumps,40,101,201,301,engineered_linear,0.9748927703553966,17
jumps,40,101,201,301,flow_jump,0.9127888679504396,6967
jumps,40,101,201,301,flow_jump_observation,0.9126986265182496,7642
jumps,40,101,201,301,gradient_boosting,0.4526707583803125,0
jumps,40,101,201,301,gru_from_scratch,1.0265518426895142,4455
jumps,40,101,201,301,representation_linear,1.081347516747304,20
jumps,40,101,201,301,representation_mlp,1.6560424917094554,673
jumps,40,102,202,302,engineered_linear,0.9535471673289844,17
jumps,40,102,202,302,flow_jump,1.375932216644287,6967
jumps,40,102,202,302,flow_jump_observation,1.37570321559906,7642
jumps,40,102,202,302,gradient_boosting,0.5041449808434195,0
jumps,40,102,202,302,gru_from_scratch,0.9583219885826112,4455
jumps,40,102,202,302,representation_linear,1.014345139668522,20
jumps,40,102,202,302,representation_mlp,1.23809476228702,673
jumps,40,103,203,303,engineered_linear,0.9566190000491294,17
jumps,40,103,203,303,flow_jump,1.0622025728225708,6967
jumps,40,103,203,303,flow_jump_observation,1.0623916387557983,7642
jumps,40,103,203,303,gradient_boosting,0.4418020162066874,0
jumps,40,103,203,303,gru_from_scratch,1.00283682346344,4455
jumps,40,103,203,303,representation_linear,1.1121720395891983,20
jumps,40,103,203,303,representation_mlp,1.3960763093469737,673
jumps,40,104,204,304,engineered_linear,0.976908190563222,17
jumps,40,104,204,304,flow_jump,1.1195999383926392,6967
jumps,40,104,204,304,flow_jump_observation,1.1195800304412842,7642
jumps,40,104,204,304,gradient_boosting,0.4567452396739021,0
jumps,40,104,204,304,gru_from_scratch,1.1821904182434082,4455
jumps,40,104,204,304,representation_linear,1.0795335656557463,20
jumps,40,104,204,304,representation_mlp,1.3019644019783845,673
jumps,40,105,205,305,engineered_linear,1.0128896845754989,17
jumps,40,105,205,305,flow_jump,1.054357886314392,6967
jumps,40,105,205,305,flow_jump_observation,1.054218292236328,7642
jumps,40,105,205,305,gradient_boosting,0.4808002339703064,0
jumps,40,105,205,305,gru_from_scratch,0.9574882984161376,4455
jumps,40,105,205,305,representation_linear,1.1555272465040207,20
jumps,40,105,205,305,representation_mlp,1.2879478861803624,673
jumps,80,101,201,301,engineered_linear,0.9536900358720924,17
jumps,80,101,201,301,flow_jump,0.929795503616333,6967
jumps,80,101,201,301,flow_jump_observation,0.9297186732292176,7642
jumps,80,101,201,301,gradient_boosting,0.3850139378921376,0
jumps,80,101,201,301,gru_from_scratch,0.9849666953086852,4455
jumps,80,101,201,301,representation_linear,1.0148283873622994,20
jumps,80,101,201,301,representation_mlp,1.1859439614271097,673
jumps,80,102,202,302,engineered_linear,0.9960278805188472,17
jumps,80,102,202,302,flow_jump,1.1937865018844604,6967
jumps,80,102,202,302,flow_jump_observation,1.1933345794677734,7642
jumps,80,102,202,302,gradient_boosting,0.3960953480197767,0
jumps,80,102,202,302,gru_from_scratch,0.964678168296814,4455
jumps,80,102,202,302,representation_linear,1.0613619244986408,20
jumps,80,102,202,302,representation_mlp,1.1565610318654345,673
jumps,80,103,203,303,engineered_linear,0.9467204212101152,17
jumps,80,103,203,303,flow_jump,1.0122064352035522,6967
jumps,80,103,203,303,flow_jump_observation,1.012120008468628,7642
jumps,80,103,203,303,gradient_boosting,0.3881129967224373,0
jumps,80,103,203,303,gru_from_scratch,1.130927324295044,4455
jumps,80,103,203,303,representation_linear,1.0311972441561603,20
jumps,80,103,203,303,representation_mlp,1.3131126822944736,673
jumps,80,104,204,304,engineered_linear,0.9893511025674104,17
jumps,80,104,204,304,flow_jump,0.9739654064178468,6967
jumps,80,104,204,304,flow_jump_observation,0.9738642573356628,7642
jumps,80,104,204,304,gradient_boosting,0.413060583094337,0
jumps,80,104,204,304,gru_from_scratch,1.063030481338501,4455
jumps,80,104,204,304,representation_linear,1.1129473754795045,20
jumps,80,104,204,304,representation_mlp,1.231094303040883,673
jumps,80,105,205,305,engineered_linear,0.9810743276398052,17
jumps,80,105,205,305,flow_jump,1.1305537223815918,6967
jumps,80,105,205,305,flow_jump_observation,1.1305097341537476,7642
jumps,80,105,205,305,gradient_boosting,0.3786177300148785,0
jumps,80,105,205,305,gru_from_scratch,1.1772217750549316,4455
jumps,80,105,205,305,representation_linear,1.0906566859043956,20
jumps,80,105,205,305,representation_mlp,1.1923315898944202,673
jumps,100,101,201,301,engineered_linear,0.9951623983169072,17
jumps,100,101,201,301,flow_jump,0.9227391481399536,6967
jumps,100,101,201,301,flow_jump_observation,0.9227905869483948,7642
jumps,100,101,201,301,gradient_boosting,0.3845917775759728,0
jumps,100,101,201,301,gru_from_scratch,1.0167900323867798,4455
jumps,100,101,201,301,representation_linear,1.0795581871973683,20
jumps,100,101,201,301,representation_mlp,1.188213541924113,673
jumps,100,102,202,302,engineered_linear,0.9771376689084814,17
jumps,100,102,202,302,flow_jump,1.1255658864974976,6967
jumps,100,102,202,302,flow_jump_observation,1.1245981454849243,7642
jumps,100,102,202,302,gradient_boosting,0.3801416926264121,0
jumps,100,102,202,302,gru_from_scratch,0.9506186842918396,4455
jumps,100,102,202,302,representation_linear,1.0438699162859897,20
jumps,100,102,202,302,representation_mlp,1.0381421508330777,673
jumps,100,103,203,303,engineered_linear,0.9510287889592692,17
jumps,100,103,203,303,flow_jump,0.9693376421928406,6967
jumps,100,103,203,303,flow_jump_observation,0.9693206548690796,7642
jumps,100,103,203,303,gradient_boosting,0.3788000971256393,0
jumps,100,103,203,303,gru_from_scratch,0.9512614011764526,4455
jumps,100,103,203,303,representation_linear,0.9951057524681954,20
jumps,100,103,203,303,representation_mlp,1.0351443148030002,673
jumps,100,104,204,304,engineered_linear,1.005708057788302,17
jumps,100,104,204,304,flow_jump,0.9490113854408264,6967
jumps,100,104,204,304,flow_jump_observation,0.9485891461372375,7642
jumps,100,104,204,304,gradient_boosting,0.3729395386508336,0
jumps,100,104,204,304,gru_from_scratch,1.0609986782073977,4455
jumps,100,104,204,304,representation_linear,1.1458814546352034,20
jumps,100,104,204,304,representation_mlp,1.3638999849490092,673
jumps,100,105,205,305,engineered_linear,0.9596510942050644,17
jumps,100,105,205,305,flow_jump,1.018952488899231,6967
jumps,100,105,205,305,flow_jump_observation,1.017646074295044,7642
jumps,100,105,205,305,gradient_boosting,0.383010141077903,0
jumps,100,105,205,305,gru_from_scratch,0.9183709621429444,4455
jumps,100,105,205,305,representation_linear,1.073890485733108,20
jumps,100,105,205,305,representation_mlp,1.1733314426986323,673
misspecified,5,101,201,301,engineered_linear,1.459047116597776,17
misspecified,5,101,201,301,flow_jump,1.7882914543151855,6967
misspecified,5,101,201,301,flow_jump_observation,1.7883583307266235,7642
misspecified,5,101,201,301,gradient_boosting,1.1495006455309165,0
misspecified,5,101,201,301,gru_from_scratch,1.7570005655288696,4455
misspecified,5,101,201,301,representation_linear,1.520712561005484,20
misspecified,5,101,201,301,representation_mlp,2.415980004277185,673
misspecified,5,102,202,302,engineered_linear,1.4484629207623725,17
misspecified,5,102,202,302,flow_jump,1.925134539604187,6967
misspecified,5,102,202,302,flow_jump_observation,1.92448890209198,7642
misspecified,5,102,202,302,gradient_boosting,1.150891286304663,0
misspecified,5,102,202,302,gru_from_scratch,1.8122715950012207,4455
misspecified,5,102,202,302,representation_linear,1.5386746622681011,20
misspecified,5,102,202,302,representation_mlp,4.862227004540445,673
misspecified,5,103,203,303,engineered_linear,1.5313215554020805,17
misspecified,5,103,203,303,flow_jump,1.6679874658584597,6967
misspecified,5,103,203,303,flow_jump_observation,1.727460265159607,7642
misspecified,5,103,203,303,gradient_boosting,0.954823934036952,0
misspecified,5,103,203,303,gru_from_scratch,1.40517258644104,4455
