world,n_train,model,site_or_shift,metric,mean,median,sd,minimum,maximum,n
informative_observation,5,flow_jump,all,coverage_90,0.8462804737388494,0.8356571485177939,0.11715622194262114,0.6705663651010039,0.9640148174281178,5
informative_observation,5,flow_jump_observation,all,coverage_90,0.8467857765611649,0.8358057406077416,0.11660409078258926,0.6723014004213658,0.9641912153819016,5
informative_observation,5,gru_from_scratch,all,coverage_90,0.7822297324112227,0.7349609617052919,0.11975450133160659,0.6731447897264974,0.9711967341178842,5
informative_observation,10,flow_jump,all,coverage_90,0.931390892536965,0.9617623021867804,0.04597407905991047,0.8691890559526744,0.9665095884887736,5
informative_observation,10,flow_jump_observation,all,coverage_90,0.931775530466186,0.961910894276728,0.04586861595072951,0.8695341385260045,0.9665095884887736,5
informative_observation,10,gru_from_scratch,all,coverage_90,0.865997761456667,0.8369830909961444,0.043802483288292185,0.8323955880530425,0.9214195497659674,5
informative_observation,20,flow_jump,all,coverage_90,0.8438931715829956,0.825455446771595,0.06980119884997726,0.7518512097872656,0.9398734974674294,5
informative_observation,20,flow_jump_observation,all,coverage_90,0.8445118147605403,0.8278597100012393,0.06986821595303078,0.7508853612026053,0.939974296298163,5
informative_observation,20,gru_from_scratch,all,coverage_90,0.8586468744323333,0.8423190272171178,0.06412563563753482,0.7932800705813156,0.9528009475090088,5
informative_observation,40,flow_jump,all,coverage_90,0.9231308771286206,0.9149805592015652,0.03737689170471651,0.8728370717278777,0.9651014606411136,5
informative_observation,40,flow_jump_observation,all,coverage_90,0.9232185827027408,0.9150053245498898,0.037270491259736284,0.8732314518116835,0.9653220272522302,5
informative_observation,40,gru_from_scratch,all,coverage_90,0.928029429528458,0.9294930533197948,0.025887658358056183,0.8995316736504807,0.955396517400398,5
informative_observation,80,flow_jump,all,coverage_90,0.908542677233703,0.8863304002974346,0.03515674915303507,0.8808725659354203,0.9519189577400902,5
informative_observation,80,flow_jump_observation,all,coverage_90,0.9081523724929899,0.8864543313917462,0.03509867267953939,0.8797140744392408,0.950684172063604,5
informative_observation,80,gru_from_scratch,all,coverage_90,0.9184407774198655,0.9163178880110948,0.027383773012118553,0.8886369238353463,0.9531908636408196,5
informative_observation,100,flow_jump,all,coverage_90,0.9061507379362927,0.9064086763618436,0.02216321465197782,0.8793185999042411,0.928541331019953,5
informative_observation,100,flow_jump_observation,all,coverage_90,0.9064073332918203,0.9061128912989894,0.021171745030555827,0.8813345765189123,0.9282934688313298,5
informative_observation,100,gru_from_scratch,all,coverage_90,0.9154756924111525,0.918042888834114,0.00845959247197599,0.9061888605463236,0.9258651112636016,5
jumps,5,flow_jump,all,coverage_90,0.8261069337058137,0.8382458266762162,0.07889831326956234,0.7402990829225303,0.9086916193801832,5
jumps,5,flow_jump_observation,all,coverage_90,0.8219105074573377,0.8152443391548675,0.07911712852831129,0.7406571011539202,0.9106012658227848,5
jumps,5,gru_from_scratch,all,coverage_90,0.7290242921210982,0.7150725675415164,0.1286183794228612,0.5563274348384979,0.916657573112178,5
jumps,10,flow_jump,all,coverage_90,0.8318289348309875,0.8156332904849164,0.07285669164429968,0.736130240758085,0.9164393278044524,5
jumps,10,flow_jump_observation,all,coverage_90,0.8296312129294169,0.8157426906982469,0.07559280648421315,0.7293813013057132,0.916357485814055,5
jumps,10,gru_from_scratch,all,coverage_90,0.8352963864105252,0.8732615460879624,0.07297125839742896,0.7196848658476117,0.8945056743780009,5
jumps,20,flow_jump,all,coverage_90,0.8786331118187085,0.887563930749665,0.03132435283978801,0.826631383675251,0.9083483817196832,5
jumps,20,flow_jump_observation,all,coverage_90,0.8793221479341963,0.887563930749665,0.030246319720370195,0.8292503273679616,0.9083483817196832,5
jumps,20,gru_from_scratch,all,coverage_90,0.873720751941055,0.8781911817355622,0.044239159866517316,0.8058707987778263,0.9177107931657176,5
jumps,40,flow_jump,all,coverage_90,0.8966157208225967,0.9028262767350502,0.01431229876608269,0.8714163752031064,0.9061208748829266,5
jumps,40,flow_jump_observation,all,coverage_90,0.8967530884668278,0.9029081187254474,0.014299229584783087,0.871609154250778,0.90639634179935,5
jumps,40,gru_from_scratch,all,coverage_90,0.9002585258167135,0.8986407023493695,0.027172785308199845,0.8615918877621892,0.9270839072227426,5
jumps,80,flow_jump,all,coverage_90,0.8923340831633656,0.8922072510070843,0.025876493261002068,0.859767012750957,0.9204495853339152,5
jumps,80,flow_jump_observation,all,coverage_90,0.8923389852330134,0.8920961244617308,0.02588844345080193,0.8601525708463,0.920695111305107,5
jumps,80,gru_from_scratch,all,coverage_90,0.9117940945048655,0.9255688391824142,0.02234440197496855,0.8846630497645341,0.9313891313836752,5
jumps,100,flow_jump,all,coverage_90,0.9033790660253198,0.9117099597166272,0.024893536636465836,0.8774998622665418,0.9337079877782628,5
jumps,100,flow_jump_observation,all,coverage_90,0.9034721230250404,0.9116266148076122,0.02486750952326912,0.8776651424163958,0.933680707114797,5
jumps,100,gru_from_scratch,all,coverage_90,0.9012569143854133,0.8982578016027132,0.010834596168815448,0.8911079279378546,0.9183489742470536,5
misspecified,5,flow_jump,all,coverage_90,0.737265738942422,0.7547827800216728,0.08250453092027615,0.6146185826162622,0.8157489823344954,5
misspecified,5,flow_jump_observation,all,coverage_90,0.7494566350255778,0.7569303516894887,0.05371721628838808,0.6892971091559509,0.8025758714834013,5
misspecified,5,gru_from_scratch,all,coverage_90,0.7431800130842673,0.756753598348363,0.06404108860571696,0.6530213671081891,0.8244083958369672,5
