world,n_train,model,site_or_shift,metric,mean,median,sd,minimum,maximum,n,coverage_abs_error_from_0_90
informative_observation,5,flow_jump,all,coverage_90,0.8462804737388494,0.8356571485177939,0.11715622194262114,0.6705663651010039,0.9640148174281178,5,0.05371952626115062
informative_observation,5,flow_jump_observation,all,coverage_90,0.8467857765611649,0.8358057406077416,0.11660409078258926,0.6723014004213658,0.9641912153819016,5,0.053214223438835084
informative_observation,5,gru_from_scratch,all,coverage_90,0.7822297324112227,0.7349609617052919,0.11975450133160659,0.6731447897264974,0.9711967341178842,5,0.11777026758877729
informative_observation,10,flow_jump,all,coverage_90,0.931390892536965,0.9617623021867804,0.04597407905991047,0.8691890559526744,0.9665095884887736,5,0.03139089253696503
informative_observation,10,flow_jump_observation,all,coverage_90,0.931775530466186,0.961910894276728,0.04586861595072951,0.8695341385260045,0.9665095884887736,5,0.031775530466185975
informative_observation,10,gru_from_scratch,all,coverage_90,0.865997761456667,0.8369830909961444,0.043802483288292185,0.8323955880530425,0.9214195497659674,5,0.03400223854333306
informative_observation,20,flow_jump,all,coverage_90,0.8438931715829956,0.825455446771595,0.06980119884997726,0.7518512097872656,0.9398734974674294,5,0.05610682841700443
informative_observation,20,flow_jump_observation,all,coverage_90,0.8445118147605403,0.8278597100012393,0.06986821595303078,0.7508853612026053,0.939974296298163,5,0.05548818523945975
informative_observation,20,gru_from_scratch,all,coverage_90,0.8586468744323333,0.8423190272171178,0.06412563563753482,0.7932800705813156,0.9528009475090088,5,0.04135312556766668
informative_observation,40,flow_jump,all,coverage_90,0.9231308771286206,0.9149805592015652,0.03737689170471651,0.8728370717278777,0.9651014606411136,5,0.02313087712862061
informative_observation,40,flow_jump_observation,all,coverage_90,0.9232185827027408,0.9150053245498898,0.037270491259736284,0.8732314518116835,0.9653220272522302,5,0.023218582702740798
informative_observation,40,gru_from_scratch,all,coverage_90,0.928029429528458,0.9294930533197948,0.025887658358056183,0.8995316736504807,0.955396517400398,5,0.028029429528457994
informative_observation,80,flow_jump,all,coverage_90,0.908542677233703,0.8863304002974346,0.03515674915303507,0.8808725659354203,0.9519189577400902,5,0.008542677233702944
informative_observation,80,flow_jump_observation,all,coverage_90,0.9081523724929899,0.8864543313917462,0.03509867267953939,0.8797140744392408,0.950684172063604,5,0.008152372492989834
informative_observation,80,gru_from_scratch,all,coverage_90,0.9184407774198655,0.9163178880110948,0.027383773012118553,0.8886369238353463,0.9531908636408196,5,0.018440777419865495
informative_observation,100,flow_jump,all,coverage_90,0.9061507379362927,0.9064086763618436,0.02216321465197782,0.8793185999042411,0.928541331019953,5,0.006150737936292727
informative_observation,100,flow_jump_observation,all,coverage_90,0.9064073332918203,0.9061128912989894,0.021171745030555827,0.8813345765189123,0.9282934688313298,5,0.006407333291820305
informative_observation,100,gru_from_scratch,all,coverage_90,0.9154756924111525,0.918042888834114,0.00845959247197599,0.9061888605463236,0.9258651112636016,5,0.01547569241115243
jumps,5,flow_jump,all,coverage_90,0.8261069337058137,0.8382458266762162,0.07889831326956234,0.7402990829225303,0.9086916193801832,5,0.07389306629418635
jumps,5,flow_jump_observation,all,coverage_90,0.8219105074573377,0.8152443391548675,0.07911712852831129,0.7406571011539202,0.9106012658227848,5,0.07808949254266229
jumps,5,gru_from_scratch,all,coverage_90,0.7290242921210982,0.7150725675415164,0.1286183794228612,0.5563274348384979,0.916657573112178,5,0.17097570787890182
