world,n_train,model,mean,median,sd,minimum,maximum,n
informative_observation,5,gradient_boosting,0.4338506922026643,0.443556718974102,0.032546142283077714,0.3822537893280766,0.4707136960218582,5
informative_observation,5,gru_from_scratch,0.5729923903942108,0.5628321766853333,0.06617378576025666,0.4819954931735992,0.6397309303283691,5
informative_observation,5,engineered_linear,0.6844869289873505,0.6465225421981928,0.09503248693566063,0.5739878975481918,0.8117948881217225,5
informative_observation,5,flow_jump_observation,0.6883990406990051,0.658004879951477,0.056878141462386636,0.6369720101356506,0.7764636278152466,5
informative_observation,5,flow_jump,0.6902120232582092,0.6601929664611816,0.05567208144425608,0.6417275071144104,0.7770689725875854,5
informative_observation,5,representation_linear,0.7015783296319974,0.685791001752338,0.0771948274115371,0.6038936737622393,0.8167798561868759,5
informative_observation,5,representation_mlp,1.861266397124981,1.214220243448931,1.3163486635859623,1.1174591056312655,4.194418803721434,5
informative_observation,10,gradient_boosting,0.3544981706445296,0.3385882396703926,0.04612566892174257,0.3148017603245364,0.424268591883278,5
informative_observation,10,gru_from_scratch,0.5447296857833862,0.5645266771316528,0.03453190648154227,0.4947981238365173,0.571218729019165,5
informative_observation,10,engineered_linear,0.6694026041484304,0.6915627691194697,0.059301804541780356,0.5867406965772062,0.7405859844951538,5
informative_observation,10,flow_jump_observation,0.6907683491706849,0.6997365355491638,0.04111236733513845,0.64304119348526,0.735790491104126,5
informative_observation,10,flow_jump,0.6910734891891479,0.6998386979103088,0.03784562650476366,0.6494200229644775,0.7304108142852783,5
informative_observation,10,representation_linear,0.7315304721533924,0.7032618201990067,0.08637537857917138,0.6437418831745032,0.8722036968957041,5
informative_observation,10,representation_mlp,1.4761128797906562,1.4942951079528917,0.5695147810345544,0.8966033181275007,2.3485159789513967,5
informative_observation,20,gradient_boosting,0.32205969033220583,0.3190385729967583,0.018098530279620724,0.2972803990363215,0.3432814148234605,5
informative_observation,20,gru_from_scratch,0.5432728409767151,0.5395485162734985,0.02089554600385264,0.5149378776550293,0.5724104642868042,5
informative_observation,20,engineered_linear,0.5976526746722891,0.5910514475308364,0.037600208690347844,0.5675315880649977,0.6618319913510422,5
informative_observation,20,flow_jump,0.6061246275901795,0.6144658327102661,0.09828941859865294,0.4550245404243469,0.7258992791175842,5
informative_observation,20,flow_jump_observation,0.6064669728279114,0.6137570142745972,0.09890350982030667,0.4536299705505371,0.725983738899231,5
informative_observation,20,representation_linear,0.6456389794788291,0.6356110197995603,0.04909956204643026,0.604992393501083,0.7252367673480876,5
informative_observation,20,representation_mlp,0.9482045969569108,0.9695258271192524,0.05537314019815292,0.8536203777511642,0.9940160106770856,5
informative_observation,40,gradient_boosting,0.27356887070014657,0.27335332816481,0.012572505865433386,0.2586949751212719,0.2906654400345965,5
informative_observation,40,gru_from_scratch,0.5840277373790741,0.5999733209609985,0.07819799933510406,0.4595746099948883,0.6723111867904663,5
informative_observation,40,engineered_linear,0.5929788603441684,0.5857946878615911,0.020878429623338995,0.5739021877531858,0.6284111821849284,5
informative_observation,40,representation_linear,0.629479741994403,0.6202999805829827,0.03905184255346099,0.5971551584863685,0.6949111390683058,5
informative_observation,40,flow_jump_observation,0.6338182926177979,0.6811863780021667,0.10500175761549285,0.4545311331748962,0.7133138179779053,5
informative_observation,40,flow_jump,0.6346322655677795,0.6810365319252014,0.10336282905589747,0.4581494331359863,0.7127693891525269,5
informative_observation,40,representation_mlp,0.6952993073547995,0.6900289529362611,0.043217372630876216,0.6438375809579359,0.7550387295059396,5
informative_observation,80,gradient_boosting,0.24326882460693855,0.2422185983600132,0.006785385428383333,0.2335506950895862,0.2501154957458146,5
informative_observation,80,gru_from_scratch,0.5069966375827789,0.5037611126899719,0.05324142055475425,0.4503128826618194,0.593447744846344,5
informative_observation,80,flow_jump_observation,0.5239193379878998,0.5125607252120972,0.1207937190027121,0.3807691037654876,0.686697781085968,5
informative_observation,80,flow_jump,0.5272875607013703,0.5194072127342224,0.12082873644446603,0.3800892829895019,0.6849482655525208,5
informative_observation,80,engineered_linear,0.5908801006400426,0.582673436454972,0.012135770407179265,0.581893643794687,0.6073904534980725,5
informative_observation,80,representation_mlp,0.6053048278488176,0.6118700689653377,0.02027177032811142,0.5824624921664636,0.6297676894226688,5
informative_observation,80,representation_linear,0.645765611585345,0.6506729426841016,0.02936956702280464,0.6145139455776611,0.681886313807047,5
informative_observation,100,gradient_boosting,0.23248883779240487,0.2317823376696643,0.003501768625810062,0.2294275327855492,0.2383528064188635,5
informative_observation,100,flow_jump_observation,0.4422411024570465,0.439765989780426,0.04338883935199097,0.3919225335121155,0.4912190437316894,5
informative_observation,100,flow_jump,0.44698319435119627,0.4404313266277313,0.04559670058259115,0.3930202722549438,0.4997662305831909,5
informative_observation,100,gru_from_scratch,0.478266304731369,0.4804427623748779,0.023247457562203807,0.4452402591705322,0.5104515552520752,5
informative_observation,100,engineered_linear,0.6024715669342268,0.5982654265911175,0.009973019181013487,0.5907500264066429,0.6134619549002556,5
informative_observation,100,representation_mlp,0.6256558538747171,0.6355582755933303,0.0279891423700686,0.5793895678085442,0.6488045134605412,5
informative_observation,100,representation_linear,0.6680111042682741,0.6611373166285508,0.02265012203898989,0.645936902292351,0.7052247860593769,5
jumps,5,gradient_boosting,0.756972322654595,0.7086813095687768,0.11888464644020592,0.6532398016411873,0.9253905234646176,5
jumps,5,gru_from_scratch,1.035741639137268,1.01966655254364,0.07076324126573968,0.9483969211578368,1.1439683437347412,5
jumps,5,engineered_linear,1.0652412892493472,1.0702021955415373,0.04363764904155145,1.0092115785984337,1.1116155941968626,5
jumps,5,representation_linear,1.1538910904593889,1.1513453503854447,0.0957400748642677,1.0635451928210666,1.310408170012783,5
jumps,5,flow_jump_observation,1.1805894374847412,1.1525973081588743,0.12425733376516902,1.043956995010376,1.370943307876587,5
jumps,5,flow_jump,1.181872797012329,1.1596946716308594,0.12415829433100302,1.0432686805725098,1.3710919618606567,5
jumps,5,representation_mlp,2.493277163217,2.4065330666780818,0.8530656416698617,1.5596703923643898,3.78764591426844,5
jumps,10,gradient_boosting,0.5858479968179736,0.6012744400089748,0.03897556665819137,0.5383815797332662,0.6301155639048532,5
jumps,10,gru_from_scratch,0.989876127243042,0.9772605299949646,0.07200280451638133,0.9091449975967408,1.086135745048523,5
jumps,10,engineered_linear,0.9927527203203785,0.9902441395579692,0.06247688470230538,0.8934394130204522,1.0530478774444934,5
jumps,10,flow_jump_observation,1.0783649802207946,1.0644959211349487,0.15997037000299058,0.9279019236564636,1.3375931978225708,5
jumps,10,flow_jump,1.0791406154632568,1.0645458698272705,0.15958739075997713,0.927580177783966,1.3379908800125122,5
jumps,10,representation_linear,1.1219235312549842,1.1543665767876303,0.08238029910968081,1.0046987950946855,1.215675623776212,5
jumps,10,representation_mlp,2.537196568204181,2.329099266991375,0.8918166353860209,1.6720396562993125,3.990213488559472,5
jumps,20,gradient_boosting,0.5295804065571832,0.4922836470664996,0.08991386702753659,0.4720121130775873,0.6891541962103059,5
jumps,20,engineered_linear,0.9752273198160546,0.9620532086671644,0.04427978431695153,0.9379107353301032,1.0461190161418632,5
jumps,20,gru_from_scratch,1.0187537908554076,1.009593486785889,0.0649124403445825,0.9268466234207152,1.099557876586914,5
jumps,20,representation_linear,1.1105578989867084,1.1007066504712666,0.06820008290480802,1.0381694539622734,1.2041212452578125,5
jumps,20,flow_jump,1.1309436082839965,1.0728731155395508,0.1419562652455436,1.000491738319397,1.352005958557129,5
jumps,20,flow_jump_observation,1.1312163591384887,1.0725001096725464,0.14146533996346025,1.0024468898773191,1.3517862558364868,5
jumps,20,representation_mlp,1.8693493037940676,1.793990774912663,0.15381416677263035,1.7326085588979163,2.0894676891946613,5
jumps,40,gradient_boosting,0.4672326458149255,0.4567452396739021,0.025076638037755027,0.4418020162066874,0.5041449808434195,5
jumps,40,engineered_linear,0.9749713625744463,0.9748927703553966,0.02365038041420708,0.9535471673289844,1.0128896845754989,5
jumps,40,gru_from_scratch,1.0254778742790223,1.00283682346344,0.09247308721413827,0.9574882984161376,1.1821904182434082,5
jumps,40,representation_linear,1.0885851016329582,1.081347516747304,0.05168045881446536,1.014345139668522,1.1555272465040207,5
jumps,40,flow_jump_observation,1.104918360710144,1.0623916387557983,0.16946005977276088,0.9126986265182496,1.37570321559906,5
jumps,40,flow_jump,1.1049762964248657,1.0622025728225708,0.16952786212219317,0.9127888679504396,1.375932216644287,5
jumps,40,representation_mlp,1.3760251703004394,1.3019644019783845,0.1666426950869088,1.23809476228702,1.6560424917094554,5
jumps,80,gradient_boosting,0.3921801191487134,0.3881129967224373,0.01325855223381568,0.3786177300148785,0.413060583094337,5
jumps,80,engineered_linear,0.9733727535616541,0.9810743276398052,0.02194101668736779,0.9467204212101152,0.9960278805188472,5
jumps,80,flow_jump_observation,1.0479094505310058,1.012120008468628,0.11034481140781578,0.9297186732292176,1.1933345794677734,5
jumps,80,flow_jump,1.0480615139007567,1.0122064352035522,0.11045746419322829,0.929795503616333,1.1937865018844604,5
jumps,80,representation_linear,1.0621983234802002,1.0613619244986408,0.04059255473920284,1.0148283873622994,1.1129473754795045,5
jumps,80,gru_from_scratch,1.0641648888587951,1.063030481338501,0.09139246496832487,0.964678168296814,1.1772217750549316,5
jumps,80,representation_mlp,1.2158087137044642,1.1923315898944202,0.060529080033910075,1.1565610318654345,1.3131126822944736,5
jumps,100,gradient_boosting,0.37989664941135215,0.3801416926264121,0.004511150686536841,0.3729395386508336,0.3845917775759728,5
jumps,100,engineered_linear,0.977737601635605,0.9771376689084814,0.023058687634307875,0.9510287889592692,1.005708057788302,5
jumps,100,gru_from_scratch,0.9796079516410827,0.9512614011764526,0.05788097901525378,0.9183709621429444,1.0609986782073977,5
jumps,100,flow_jump_observation,0.996588921546936,0.9693206548690796,0.0795667896983057,0.9227905869483948,1.1245981454849243,5
jumps,100,flow_jump,0.9971213102340698,0.9693376421928406,0.07999033167301194,0.9227391481399536,1.1255658864974976,5
jumps,100,representation_linear,1.067661159263973,1.073890485733108,0.055066025568420565,0.9951057524681954,1.1458814546352034,5
jumps,100,representation_mlp,1.1597462870415665,1.1733314426986323,0.13508043053382224,1.0351443148030002,1.3638999849490092,5
misspecified,5,gradient_boosting,0.9933087980986613,0.9621116364738032,0.16678094707305643,0.7492164881469725,1.150891286304663,5
misspecified,5,engineered_linear,1.451050124407715,1.459047116597776,0.09477586856186432,1.2947523041685487,1.5313215554020805,5
misspecified,5,representation_linear,1.5542355470126108,1.5386746622681011,0.05697550144141394,1.4857958993694178,1.6168068518300438,5
misspecified,5,gru_from_scratch,1.6629499912261962,1.7113497257232666,0.15897311341672152,1.40517258644104,1.8122715950012207,5
misspecified,5,flow_jump,1.8273665189743042,1.7882914543151855,0.15369210634221478,1.6679874658584597,2.040388822555542,5
misspecified,5,flow_jump_observation,1.8390284776687622,1.7883583307266235,0.13999037498542458,1.714439868927002,2.040395021438598,5
misspecified,5,representation_mlp,3.217158717311815,3.0720772306476363,1.1117483504540537,2.05209985387352,4.862227004540445,5
misspecified,10,gradient_boosting,0.8545125441898257,0.7883900824947594,0.12693541638860525,0.7473536413275398,1.032267093977567,5
misspecified,10,engineered_linear,1.2657548238135634,1.2412917344451682,0.06569972829089328,1.2116103122536812,1.377964597433447,5
misspecified,10,representation_linear,1.577008495586362,1.4823534312700126,0.26687077011554805,1.364809418566736,2.033206025440509,5
misspecified,10,gru_from_scratch,1.663962435722351,1.5742131471633911,0.30693699902024246,1.3364825248718262,1.9955406188964844,5
misspecified,10,flow_jump_observation,1.8669105529785157,1.8484662771224976,0.09983375368747703,1.7316477298736572,1.9850376844406128,5
misspecified,10,flow_jump,1.866967248916626,1.8487334251403809,0.09964785424443033,1.7318998575210571,1.9850255250930784,5
misspecified,10,representation_mlp,2.780288500149213,2.0840688751847254,1.378011134518193,1.6297698620825356,5.027036106418853,5
misspecified,20,gradient_boosting,0.5150102089210534,0.4887162680045977,0.09403689934817029,0.4110490264595454,0.6310329554130015,5
misspecified,20,engineered_linear,1.3003449894401746,1.2752500027870166,0.065474624616898,1.234143681707561,1.3986768109912542,5
misspecified,20,representation_linear,1.4805645757791182,1.4627754635582575,0.09351837905514908,1.3928351830269987,1.6239867460568185,5
misspecified,20,flow_jump_observation,1.5849903106689454,1.6043157577514648,0.3057484512917793,1.188030242919922,1.9036221504211424,5
misspecified,20,flow_jump,1.6023372888565064,1.6055229902267456,0.3390515824452479,1.169053077697754,2.0020952224731445,5
misspecified,20,gru_from_scratch,1.617629885673523,1.548796772956848,0.3141987197072195,1.1872289180755615,2.004335403442383,5
misspecified,20,representation_mlp,1.8497019576618001,1.6704373227330307,0.34709711373011803,1.5429692211857238,2.2640437161506624,5
misspecified,40,gradient_boosting,0.4355029850980786,0.4393762598088493,0.06095963285328598,0.3760702126150461,0.5271679421752113,5
misspecified,40,engineered_linear,1.299175630309016,1.2815517169670771,0.05348475794603474,1.2525499534474265,1.3773933068112791,5
misspecified,40,representation_linear,1.5151835879603568,1.4948204800729687,0.08373132001134594,1.4345853389463694,1.6199835205868156,5
misspecified,40,gru_from_scratch,1.6167718410491942,1.577712893486023,0.13025805658119854,1.4753167629241943,1.7789686918258667,5
misspecified,40,flow_jump_observation,1.674325704574585,1.611472725868225,0.2355602970312377,1.4343106746673584,2.068775415420532,5
misspecified,40,flow_jump,1.6755884408950805,1.6145573854446411,0.235276156421597,1.4403154850006104,2.07169771194458,5
misspecified,40,representation_mlp,1.7812173450461628,1.8621336310743068,0.15315328607568449,1.5764371525772454,1.921130415286552,5
misspecified,80,gradient_boosting,0.36325154740778465,0.3587359255350542,0.022049758349131813,0.3427711051211806,0.3947340365992809,5
misspecified,80,engineered_linear,1.2471245200983465,1.246312290889,0.016968600531367662,1.222021875011113,1.2637201869166068,5
misspecified,80,representation_linear,1.4364172882053512,1.4482607408062775,0.03651547482129382,1.3858543122327731,1.476889158453758,5
misspecified,80,flow_jump_observation,1.4675967693328857,1.4814990758895874,0.09668102614221329,1.34097158908844,1.5846198797225952,5
misspecified,80,flow_jump,1.4711745023727416,1.4919977188110352,0.09042139487074329,1.3519927263259888,1.5875558853149414,5
misspecified,80,gru_from_scratch,1.4830540895462037,1.4554532766342163,0.15170627024146638,1.3060896396636963,1.6624064445495603,5
misspecified,80,representation_mlp,1.5448534442023711,1.4749682282468148,0.22213728855060963,1.3378599514335028,1.8507688558954225,5
misspecified,100,gradient_boosting,0.3262956232263131,0.3260671583802176,0.012703045716649134,0.3091200204457774,0.3435736899928897,5
misspecified,100,engineered_linear,1.262912998103739,1.266395628457566,0.015426911433623387,1.2459843537633812,1.2799524153025,5
misspecified,100,representation_linear,1.4869350867194686,1.483432108163594,0.035471788045764105,1.4509940082662134,1.53608755762916,5
misspecified,100,gru_from_scratch,1.5329549074172975,1.48825204372406,0.13213494679778148,1.3862758874893188,1.7376083135604858,5
misspecified,100,representation_mlp,1.5792424674333638,1.493342234412461,0.2543206211741974,1.3515053573420883,1.9757234388792333,5
misspecified,100,flow_jump,1.6109678506851197,1.590121507644653,0.1425561079386236,1.469709873199463,1.849901795387268,5
misspecified,100,flow_jump_observation,1.6218761444091796,1.5880136489868164,0.1689035559494839,1.465036153793335,1.9099061489105225,5
site_shift,5,gradient_boosting,0.4636591308398533,0.4458812119439445,0.033489263516151356,0.43320967289332,0.5103493121223249,5
site_shift,5,gru_from_scratch,0.609049117565155,0.6041045784950256,0.05680989160714858,0.534636378288269,0.6843644976615906,5
site_shift,5,flow_jump_observation,0.6751914620399475,0.6442515850067139,0.08364829012385383,0.6177068948745728,0.8202173113822937,5
site_shift,5,flow_jump,0.6767417669296265,0.6487753391265869,0.08270188868496217,0.6208787560462952,0.8202094435691833,5
site_shift,5,engineered_linear,0.69797174961402,0.6843709173301381,0.1000297426873091,0.5945549521812807,0.861241229972937,5
