world,n_train,cohort_seed,subset_seed,model_seed,flow_jump,gru_from_scratch,representation_linear,delta_vs_gru,delta_vs_representation_linear,relative_vs_gru,relative_vs_representation_linear,beats_gru,beats_representation_linear,beats_both
informative_observation,5,101,201,301,0.6580477356910706,0.5628321766853333,0.6038936737622393,-0.0952155590057373,-0.05415406192883121,-0.16917220256753404,-0.08967482900003412,False,False,False
informative_observation,5,102,202,302,0.7140229344367981,0.5450028777122498,0.685791001752338,-0.16902005672454834,-0.028231932684460115,-0.3101269069147694,-0.04116696283900151,False,False,False
informative_observation,5,103,203,303,0.7770689725875854,0.4819954931735992,0.6810699024762922,-0.29507347941398626,-0.09599907011129327,-0.6121913660875462,-0.14095332911093508,False,False,False
informative_observation,5,104,204,304,0.6417275071144104,0.6354004740715027,0.8167798561868759,-0.006327033042907715,0.17505234907246547,-0.009957551656147683,0.21432011054936476,False,True,False
informative_observation,5,105,205,305,0.6601929664611816,0.6397309303283691,0.7203572139822414,-0.0204620361328125,0.060164247521059755,-0.03198537879403375,0.08352001805946092,False,True,False
informative_observation,10,101,201,301,0.6535772085189819,0.5645266771316528,0.8722036968957041,-0.0890505313873291,0.21862648837672216,-0.1577437081269442,0.2506598964838657,False,True,False
informative_observation,10,102,202,302,0.7221207022666931,0.571218729019165,0.6942731158109383,-0.15090197324752808,-0.027847586455754803,-0.2641754648112477,-0.04011042026771802,False,False,False
informative_observation,10,103,203,303,0.7304108142852783,0.4947981238365173,0.6437418831745032,-0.23561269044876104,-0.08666893111077512,-0.4761794337898665,-0.13463304684073385,False,False,False
informative_observation,10,104,204,304,0.6494200229644775,0.5222994685173035,0.7032618201990067,-0.12712055444717407,0.0538417972345292,-0.24338633697645176,0.07656010277835533,False,True,False
informative_observation,10,105,205,305,0.6998386979103088,0.5708054304122925,0.7441718446868097,-0.12903326749801636,0.04433314677650091,-0.226054730076439,0.05957380286962999,False,True,False
informative_observation,20,101,201,301,0.4550245404243469,0.5395485162734985,0.6356110197995603,0.08452397584915161,0.18058647937521333,0.15665685902156423,0.284114771062593,True,True,True
informative_observation,20,102,202,302,0.7258992791175842,0.5385496020317078,0.6550130274624995,-0.18734967708587646,-0.07088625165508478,-0.34787822027737014,-0.10822113253181537,False,False,False
informative_observation,20,103,203,303,0.6414108872413635,0.5149378776550293,0.604992393501083,-0.12647300958633423,-0.0364184937402805,-0.2456082861145862,-0.06019661425745728,False,False,False
informative_observation,20,104,204,304,0.6144658327102661,0.5724104642868042,0.7252367673480876,-0.042055368423461914,0.1107709346378215,-0.07347064920600442,0.152737615665665,False,True,False
informative_observation,20,105,205,305,0.5938225984573364,0.5509177446365356,0.6073416892829152,-0.04290485382080078,0.013519090825578783,-0.07787887436645732,0.022259448123083225,False,True,False
informative_observation,40,101,201,301,0.6810365319252014,0.6723111867904663,0.6033120039837567,-0.008725345134735107,-0.07772452794144469,-0.012978134688474943,-0.1288297388883668,False,False,False
informative_observation,40,102,202,302,0.4581494331359863,0.4595746099948883,0.6317204278506015,0.001425176858902033,0.17357099471461518,0.003101078318747602,0.27475919261497084,True,True,True
