world,n_train,model,mean,median,sd,minimum,maximum,n
informative_observation,5,flow_jump,0.6902120232582092,0.6601929664611816,0.05567208144425608,0.6417275071144104,0.7770689725875854,5
informative_observation,10,flow_jump,0.6910734891891479,0.6998386979103088,0.03784562650476366,0.6494200229644775,0.7304108142852783,5
informative_observation,20,flow_jump,0.6061246275901795,0.6144658327102661,0.09828941859865294,0.4550245404243469,0.7258992791175842,5
informative_observation,40,flow_jump,0.6346322655677795,0.6810365319252014,0.10336282905589747,0.4581494331359863,0.7127693891525269,5
informative_observation,80,flow_jump,0.5272875607013703,0.5194072127342224,0.12082873644446603,0.3800892829895019,0.6849482655525208,5
informative_observation,100,flow_jump,0.44698319435119627,0.4404313266277313,0.04559670058259115,0.3930202722549438,0.4997662305831909,5
informative_observation,5,gru_from_scratch,0.5729923903942108,0.5628321766853333,0.06617378576025666,0.4819954931735992,0.6397309303283691,5
informative_observation,10,gru_from_scratch,0.5447296857833862,0.5645266771316528,0.03453190648154227,0.4947981238365173,0.571218729019165,5
informative_observation,20,gru_from_scratch,0.5432728409767151,0.5395485162734985,0.02089554600385264,0.5149378776550293,0.5724104642868042,5
informative_observation,40,gru_from_scratch,0.5840277373790741,0.5999733209609985,0.07819799933510406,0.4595746099948883,0.6723111867904663,5
informative_observation,80,gru_from_scratch,0.5069966375827789,0.5037611126899719,0.05324142055475425,0.4503128826618194,0.593447744846344,5
informative_observation,100,gru_from_scratch,0.478266304731369,0.4804427623748779,0.023247457562203807,0.4452402591705322,0.5104515552520752,5
informative_observation,5,representation_linear,0.7015783296319974,0.685791001752338,0.0771948274115371,0.6038936737622393,0.8167798561868759,5
informative_observation,10,representation_linear,0.7315304721533924,0.7032618201990067,0.08637537857917138,0.6437418831745032,0.8722036968957041,5
informative_observation,20,representation_linear,0.6456389794788291,0.6356110197995603,0.04909956204643026,0.604992393501083,0.7252367673480876,5
informative_observation,40,representation_linear,0.629479741994403,0.6202999805829827,0.03905184255346099,0.5971551584863685,0.6949111390683058,5
informative_observation,80,representation_linear,0.645765611585345,0.6506729426841016,0.02936956702280464,0.6145139455776611,0.681886313807047,5
informative_observation,100,representation_linear,0.6680111042682741,0.6611373166285508,0.02265012203898989,0.645936902292351,0.7052247860593769,5
jumps,5,flow_jump,1.181872797012329,1.1596946716308594,0.12415829433100302,1.0432686805725098,1.3710919618606567,5
jumps,10,flow_jump,1.0791406154632568,1.0645458698272705,0.15958739075997713,0.927580177783966,1.3379908800125122,5
jumps,20,flow_jump,1.1309436082839965,1.0728731155395508,0.1419562652455436,1.000491738319397,1.352005958557129,5
jumps,40,flow_jump,1.1049762964248657,1.0622025728225708,0.16952786212219317,0.9127888679504396,1.375932216644287,5
jumps,80,flow_jump,1.0480615139007567,1.0122064352035522,0.11045746419322829,0.929795503616333,1.1937865018844604,5
jumps,100,flow_jump,0.9971213102340698,0.9693376421928406,0.07999033167301194,0.9227391481399536,1.1255658864974976,5
jumps,5,gru_from_scratch,1.035741639137268,1.01966655254364,0.07076324126573968,0.9483969211578368,1.1439683437347412,5
jumps,10,gru_from_scratch,0.989876127243042,0.9772605299949646,0.07200280451638133,0.9091449975967408,1.086135745048523,5
jumps,20,gru_from_scratch,1.0187537908554076,1.009593486785889,0.0649124403445825,0.9268466234207152,1.099557876586914,5
jumps,40,gru_from_scratch,1.0254778742790223,1.00283682346344,0.09247308721413827,0.9574882984161376,1.1821904182434082,5
jumps,80,gru_from_scratch,1.0641648888587951,1.063030481338501,0.09139246496832487,0.964678168296814,1.1772217750549316,5
jumps,100,gru_from_scratch,0.9796079516410827,0.9512614011764526,0.05788097901525378,0.9183709621429444,1.0609986782073977,5
jumps,5,representation_linear,1.1538910904593889,1.1513453503854447,0.0957400748642677,1.0635451928210666,1.310408170012783,5
jumps,10,representation_linear,1.1219235312549842,1.1543665767876303,0.08238029910968081,1.0046987950946855,1.215675623776212,5
jumps,20,representation_linear,1.1105578989867084,1.1007066504712666,0.06820008290480802,1.0381694539622734,1.2041212452578125,5
