model,n_train,n_fit,n_validation,seed,cohort_seed,subset_seed,model_seed,split,site_or_shift,metric,world,benchmark,ablation,ablated_value,ablated_parameters,full_value,full_parameters,raw_delta_ablated_minus_full,oriented_component_benefit
flow_jump,40,32,8,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.9474316243505538,6967,0.9651014606411136,6967,-0.017669836290559737,-0.017669836290559737
flow_jump_observation,40,32,8,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.9474806391530242,7642,0.9653220272522302,7642,-0.01784138809920599,-0.01784138809920599
flow_jump,40,32,8,204,104,204,304,test,all,coverage_90,informative_observation,low_n,no_flow,0.9576644910919032,6967,0.9547665247083134,6967,0.002897966383589856,0.002897966383589856
flow_jump_observation,40,32,8,204,104,204,304,test,all,coverage_90,informative_observation,low_n,no_flow,0.95771489050727,7642,0.9545901267545296,7642,0.0031247637527404004,0.0031247637527404004
flow_jump,40,32,8,205,105,205,305,test,all,coverage_90,informative_observation,low_n,no_flow,0.9129755855744206,6967,0.9079687693642337,6967,0.0050068162101869484,0.0050068162101869484
flow_jump_observation,40,32,8,205,105,205,305,test,all,coverage_90,informative_observation,low_n,no_flow,0.9130499442310076,7642,0.9079439831453712,7642,0.005105961085636435,0.005105961085636435
flow_jump,80,64,16,201,101,201,301,test,all,coverage_90,informative_observation,low_n,no_flow,0.9013100869263726,6967,0.8819435845365166,6967,0.019366502389856044,-0.01674632853711089
flow_jump_observation,80,64,16,201,101,201,301,test,all,coverage_90,informative_observation,low_n,no_flow,0.9017806285445404,7642,0.8818692884915427,7642,0.019911340052997772,-0.016350082963916934
flow_jump,80,64,16,202,102,202,302,test,all,coverage_90,informative_observation,low_n,no_flow,0.8856297756963273,6967,0.8808725659354203,6967,0.0047572097609069885,-0.0047572097609069885
flow_jump_observation,80,64,16,202,102,202,302,test,all,coverage_90,informative_observation,low_n,no_flow,0.886738969682031,7642,0.8797140744392408,7642,0.007024895242790263,-0.007024895242790263
flow_jump,80,64,16,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.9483383981962552,6967,0.941647877659053,6967,0.006690520537202205,0.006690520537202205
flow_jump_observation,80,64,16,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.9483383981962552,7642,0.9420399960788158,7642,0.006298402117439372,0.006298402117439372
flow_jump,80,64,16,204,104,204,304,test,all,coverage_90,informative_observation,low_n,no_flow,0.9411838822669656,6967,0.9519189577400902,6967,-0.010735075473124578,-0.010735075473124578
flow_jump_observation,80,64,16,204,104,204,304,test,all,coverage_90,informative_observation,low_n,no_flow,0.940755487236348,7642,0.950684172063604,7642,-0.009928684827255951,-0.009928684827255951
flow_jump,80,64,16,205,105,205,305,test,all,coverage_90,informative_observation,low_n,no_flow,0.9155285661172388,6967,0.8863304002974346,6967,0.029198165819804167,0.0018589664146733131
flow_jump_observation,80,64,16,205,105,205,305,test,all,coverage_90,informative_observation,low_n,no_flow,0.915702069649275,7642,0.8864543313917462,7642,0.0292477382575288,0.0021564010410212164
flow_jump,100,80,20,201,101,201,301,test,all,coverage_90,informative_observation,low_n,no_flow,0.90081477995988,6967,0.8890760048540083,6967,0.011738775105871735,-0.010109215186111742
flow_jump_observation,100,80,20,201,101,201,301,test,all,coverage_90,informative_observation,low_n,no_flow,0.9001461155551153,7642,0.8897199039104485,7642,0.010426211644666727,-0.01013398053443626
flow_jump,100,80,20,202,102,202,302,test,all,coverage_90,informative_observation,low_n,no_flow,0.922257825979788,6967,0.9064086763618436,6967,0.01584914961794437,0.01584914961794437
flow_jump_observation,100,80,20,202,102,202,302,test,all,coverage_90,informative_observation,low_n,no_flow,0.922430367266453,7642,0.9061128912989894,7642,0.01631747596746358,0.01631747596746358
flow_jump,100,80,20,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.9447358102146848,6967,0.9274090775414175,6967,0.01732673267326723,0.01732673267326723
flow_jump_observation,100,80,20,203,103,203,303,test,all,coverage_90,informative_observation,low_n,no_flow,0.9449808842270364,7642,0.9265758258994216,7642,0.018405058327614854,0.018405058327614854
