epoch,train_core_loss,validation_core_loss,validation_mae,validation_rmse,gradient_l2_norm,parameter_l2_norm,mean_flow_displacement,median_flow_displacement,p95_flow_displacement,best_validation_core_loss_so_far,best_core_epoch,shadow_best_validation_mae_so_far,shadow_best_mae_epoch,stale_epochs
1,0.7548104524612427,0.9032456874847412,0.47382575273513794,0.7418049573898315,1.1408276557922363,7.5653533935546875,0.27458733320236206,0.24604487419128418,0.6317628026008606,0.9032456874847412,1,0.47382575273513794,1,0
2,0.7317824363708496,0.8827657699584961,0.46988505125045776,0.7405116558074951,1.1030442714691162,7.563979625701904,0.27669471502304077,0.2476641833782196,0.6336298584938049,0.8827657699584961,2,0.46988505125045776,2,0
3,0.7097200751304626,0.8629868030548096,0.46626630425453186,0.7391772866249084,1.0675424337387085,7.563067436218262,0.2794414758682251,0.25115320086479187,0.6402071714401245,0.8629868030548096,3,0.46626630425453186,3,0
4,0.6885896325111389,0.8438128232955933,0.4630028009414673,0.7377312183380127,1.034167766571045,7.562649726867676,0.28278544545173645,0.25400635600090027,0.6471794247627258,0.8438128232955933,4,0.4630028009414673,4,0
5,0.6683503985404968,0.8251852989196777,0.4598340690135956,0.7361617684364319,1.0027492046356201,7.5627593994140625,0.286664754152298,0.25697213411331177,0.6554715633392334,0.8251852989196777,5,0.4598340690135956,5,0
6,0.6489486694335938,0.8070868253707886,0.45690134167671204,0.734508216381073,0.9732071161270142,7.563453197479248,0.291007936000824,0.2608623206615448,0.6648894548416138,0.8070868253707886,6,0.45690134167671204,6,0
7,0.6303257346153259,0.7895262241363525,0.4545605182647705,0.7328320741653442,0.945449709892273,7.564737319946289,0.2957461476325989,0.2635663151741028,0.6783275008201599,0.7895262241363525,7,0.4545605182647705,7,0
8,0.6124228835105896,0.7725163698196411,0.452921986579895,0.731190025806427,0.9193439483642578,7.566594123840332,0.30082646012306213,0.26615071296691895,0.6864661574363708,0.7725163698196411,8,0.452921986579895,8,0
9,0.5951851010322571,0.7560675144195557,0.45153799653053284,0.729627251625061,0.8947243690490723,7.569002151489258,0.30622002482414246,0.2699153423309326,0.6951332092285156,0.7560675144195557,9,0.45153799653053284,9,0
10,0.5785607099533081,0.7401860952377319,0.4503379166126251,0.7281796932220459,0.8714160323143005,7.571928024291992,0.3119177222251892,0.27504491806030273,0.7081940770149231,0.7401860952377319,10,0.4503379166126251,10,0
11,0.5625004768371582,0.7248739004135132,0.4497103691101074,0.7268739938735962,0.8492509722709656,7.575333118438721,0.31792497634887695,0.2803927958011627,0.7220292091369629,0.7248739004135132,11,0.4497103691101074,11,0
12,0.5469560623168945,0.7101266980171204,0.4493977725505829,0.7257260084152222,0.8280740976333618,7.579174041748047,0.3242570161819458,0.2859499752521515,0.7385285496711731,0.7101266980171204,12,0.4493977725505829,12,0
13,0.5318798422813416,0.6959336996078491,0.44929933547973633,0.7247402667999268,0.8077417016029358,7.58341121673584,0.33093497157096863,0.291710764169693,0.7536572217941284,0.6959336996078491,13,0.44929933547973633,13,0
14,0.5172268748283386,0.6822788715362549,0.44949883222579956,0.7239118814468384,0.7881134152412415,7.588014125823975,0.3379834294319153,0.2974783182144165,0.7694141268730164,0.6822788715362549,14,0.44929933547973633,13,0
15,0.5029580593109131,0.6691433191299438,0.4499806761741638,0.7232301831245422,0.7690479755401611,7.592959880828857,0.345429003238678,0.3029910922050476,0.7860092520713806,0.6691433191299438,15,0.44929933547973633,13,0
16,0.4890425503253937,0.6565077304840088,0.4507187306880951,0.722682535648346,0.7504041790962219,7.598222732543945,0.3532995581626892,0.308570921421051,0.8034675717353821,0.6565077304840088,16,0.44929933547973633,13,0
17,0.47545918822288513,0.644354522228241,0.45158764719963074,0.7222563028335571,0.7320463061332703,7.603777885437012,0.3616240620613098,0.31674885749816895,0.8218138813972473,0.644354522228241,17,0.44929933547973633,13,0
18,0.4621955156326294,0.6326675415039062,0.45251208543777466,0.721939742565155,0.7138503193855286,7.60960578918457,0.37043121457099915,0.3235221803188324,0.8410734534263611,0.6326675415039062,18,0.44929933547973633,13,0
19,0.4492460787296295,0.6214316487312317,0.4534628093242645,0.7217200994491577,0.695708155632019,7.615689754486084,0.3797484040260315,0.32972514629364014,0.8684956431388855,0.6214316487312317,19,0.44929933547973633,13,0
20,0.4366108775138855,0.6106308698654175,0.4546876847743988,0.721581220626831,0.6775307059288025,7.622021198272705,0.3896009624004364,0.33491045236587524,0.8987571597099304,0.6106308698654175,20,0.44929933547973633,13,0
21,0.4242931604385376,0.6002466678619385,0.45616596937179565,0.721500813961029,0.6592482924461365,7.628593444824219,0.400010883808136,0.34520643949508667,0.930701732635498,0.6002466678619385,21,0.44929933547973633,13,0
22,0.41229790449142456,0.590256929397583,0.45766976475715637,0.721448540687561,0.6408084630966187,7.635401248931885,0.4109959900379181,0.3529176712036133,0.9643861651420593,0.590256929397583,22,0.44929933547973633,13,0
23,0.40063005685806274,0.5806376934051514,0.45901501178741455,0.7213875651359558,0.6221710443496704,7.642440319061279,0.42256850004196167,0.36007511615753174,0.9967142939567566,0.5806376934051514,23,0.44929933547973633,13,0
24,0.3892941474914551,0.5713653564453125,0.4601564407348633,0.7212778329849243,0.6033017635345459,7.6497063636779785,0.43473348021507263,0.3676654100418091,1.023019552230835,0.5713653564453125,24,0.44929933547973633,13,0
25,0.37829434871673584,0.5624209642410278,0.46097955107688904,0.7210812568664551,0.5841654539108276,7.657193183898926,0.44748789072036743,0.3770943284034729,1.050399899482727,0.5624209642410278,25,0.44929933547973633,13,0
26,0.36763548851013184,0.5537935495376587,0.46142321825027466,0.7207669019699097,0.5647237300872803,7.66489315032959,0.4608192443847656,0.38631823658943176,1.0788307189941406,0.5537935495376587,26,0.44929933547973633,13,0
27,0.3573242425918579,0.5454832315444946,0.46141698956489563,0.7203155755996704,0.5449360609054565,7.672797679901123,0.4747063219547272,0.39561137557029724,1.1082786321640015,0.5454832315444946,27,0.44929933547973633,13,0
28,0.34737032651901245,0.5375027656555176,0.4609140455722809,0.7197226285934448,0.5247644782066345,7.680900573730469,0.4891190528869629,0.4059074819087982,1.1508338451385498,0.5375027656555176,28,0.44929933547973633,13,0
29,0.33778685331344604,0.529876708984375,0.459927499294281,0.7189980745315552,0.5041813254356384,7.689190864562988,0.504019558429718,0.41656264662742615,1.1982829570770264,0.529876708984375,29,0.44929933547973633,13,0
30,0.3285899758338928,0.5226396918296814,0.4585150480270386,0.7181655168533325,0.48317617177963257,7.697648525238037,0.5193619728088379,0.4265652298927307,1.2474473714828491,0.5226396918296814,30,0.44929933547973633,13,0
31,0.3197978734970093,0.5158334374427795,0.4568646252155304,0.7172592282295227,0.4617637097835541,7.706254959106445,0.5350934267044067,0.4388181269168854,1.2981172800064087,0.5158334374427795,31,0.44929933547973633,13,0
32,0.3114297688007355,0.5095032453536987,0.4550080895423889,0.7163203954696655,0.43999141454696655,7.714982509613037,0.551153302192688,0.4503386616706848,1.3500584363937378,0.5095032453536987,32,0.44929933547973633,13,0
33,0.30350440740585327,0.5036941766738892,0.453124076128006,0.7153926491737366,0.4179490804672241,7.7238054275512695,0.5674727559089661,0.4620591998100281,1.3971872329711914,0.5036941766738892,33,0.44929933547973633,13,0
34,0.2960386872291565,0.4984470307826996,0.4513724446296692,0.7145172953605652,0.3957809805870056,7.73269510269165,0.5839740633964539,0.4739270806312561,1.439475178718567,0.4984470307826996,34,0.44929933547973633,13,0
35,0.2890464663505554,0.49379462003707886,0.44966453313827515,0.7137285470962524,0.37369778752326965,7.741627216339111,0.6005700826644897,0.48588526248931885,1.481745958328247,0.49379462003707886,35,0.44929933547973633,13,0
36,0.28253650665283203,0.4897575378417969,0.4479788839817047,0.7130482792854309,0.35198166966438293,7.750576019287109,0.6171655058860779,0.5002886652946472,1.5237146615982056,0.4897575378417969,36,0.4479788839817047,36,0
