epoch,train_core_loss,validation_core_loss,validation_mae,validation_rmse,gradient_l2_norm,parameter_l2_norm,mean_flow_displacement,median_flow_displacement,p95_flow_displacement,best_validation_core_loss_so_far,best_core_epoch,shadow_best_validation_mae_so_far,shadow_best_mae_epoch,stale_epochs
1,0.7363446354866028,0.8802260160446167,0.44981127977371216,0.7255775332450867,1.1499637365341187,6.9618000984191895,0.0,0.0,0.0,0.8802260160446167,1,0.44981127977371216,1,0
2,0.7148874998092651,0.8628985285758972,0.4451189935207367,0.7226275205612183,1.120068073272705,6.9624223709106445,0.0,0.0,0.0,0.8628985285758972,2,0.4451189935207367,2,0
3,0.694055438041687,0.8460565209388733,0.4404715299606323,0.7196530699729919,1.091324806213379,6.963496208190918,0.0,0.0,0.0,0.8460565209388733,3,0.4404715299606323,3,0
4,0.673825204372406,0.8296960592269897,0.4359891712665558,0.7166678309440613,1.0638127326965332,6.964990139007568,0.0,0.0,0.0,0.8296960592269897,4,0.4359891712665558,4,0
5,0.6541823148727417,0.8138278722763062,0.431730717420578,0.7137094140052795,1.037384033203125,6.9668731689453125,0.0,0.0,0.0,0.8138278722763062,5,0.431730717420578,5,0
6,0.6351109743118286,0.7984603643417358,0.4277631640434265,0.7108056545257568,1.011916160583496,6.969128131866455,0.0,0.0,0.0,0.7984603643417358,6,0.4277631640434265,6,0
7,0.6165928244590759,0.7836006879806519,0.4239574074745178,0.7079782485961914,0.9873185157775879,6.971743583679199,0.0,0.0,0.0,0.7836006879806519,7,0.4239574074745178,7,0
8,0.5986083149909973,0.7692559361457825,0.4203118681907654,0.705242931842804,0.9635117053985596,6.974710464477539,0.0,0.0,0.0,0.7692559361457825,8,0.4203118681907654,8,0
9,0.5811401605606079,0.7554332613945007,0.41676652431488037,0.7026140093803406,0.9404204487800598,6.978017807006836,0.0,0.0,0.0,0.7554332613945007,9,0.41676652431488037,9,0
10,0.5641739368438721,0.7421404123306274,0.41326189041137695,0.7001070976257324,0.9179747700691223,6.9816484451293945,0.0,0.0,0.0,0.7421404123306274,10,0.41326189041137695,10,0
