epoch,train_core_loss,validation_core_loss,validation_mae,validation_rmse,gradient_l2_norm,parameter_l2_norm,mean_flow_displacement,median_flow_displacement,p95_flow_displacement,best_validation_core_loss_so_far,best_core_epoch,shadow_best_validation_mae_so_far,shadow_best_mae_epoch,stale_epochs
1,0.9350932240486145,1.0889170169830322,0.4450344443321228,0.7900457382202148,1.3470816612243652,7.007541179656982,0.0,0.0,0.0,1.0889170169830322,1,0.4450344443321228,1,0
2,0.9111063480377197,1.0675597190856934,0.4381549060344696,0.7821142673492432,1.3039307594299316,7.007554531097412,0.0,0.0,0.0,1.0675597190856934,2,0.4381549060344696,2,0
3,0.8882269859313965,1.0474724769592285,0.43247300386428833,0.7753345966339111,1.2631903886795044,7.007828235626221,0.0,0.0,0.0,1.0474724769592285,3,0.43247300386428833,3,0
4,0.8663869500160217,1.028559684753418,0.4276477098464966,0.7695875763893127,1.224835753440857,7.008403778076172,0.0,0.0,0.0,1.028559684753418,4,0.4276477098464966,4,0
5,0.8455197215080261,1.0107107162475586,0.42379581928253174,0.7646962404251099,1.1887753009796143,7.009275436401367,0.0,0.0,0.0,1.0107107162475586,5,0.42379581928253174,5,0
6,0.8255767226219177,0.993846595287323,0.4205320179462433,0.7605433464050293,1.1549757719039917,7.010418891906738,0.0,0.0,0.0,0.993846595287323,6,0.4205320179462433,6,0
7,0.8065149784088135,0.9779016971588135,0.41798490285873413,0.7570452690124512,1.123431921005249,7.011815547943115,0.0,0.0,0.0,0.9779016971588135,7,0.41798490285873413,7,0
8,0.7882900238037109,0.962814450263977,0.4161314368247986,0.7541303038597107,1.0941340923309326,7.013458728790283,0.0,0.0,0.0,0.962814450263977,8,0.4161314368247986,8,0
9,0.7708543539047241,0.9485220909118652,0.41495853662490845,0.7517307996749878,1.0670549869537354,7.015357494354248,0.0,0.0,0.0,0.9485220909118652,9,0.41495853662490845,9,0
10,0.7541565299034119,0.934959888458252,0.41430845856666565,0.749779999256134,1.0421435832977295,7.01751708984375,0.0,0.0,0.0,0.934959888458252,10,0.41430845856666565,10,0
11,0.7381417751312256,0.9220617413520813,0.4142780005931854,0.7482116222381592,1.0193215608596802,7.019935131072998,0.0,0.0,0.0,0.9220617413520813,11,0.4142780005931854,11,0
12,0.7227524518966675,0.9097608923912048,0.4147682785987854,0.7469604015350342,0.9984824657440186,7.022598743438721,0.0,0.0,0.0,0.9097608923912048,12,0.4142780005931854,11,0
13,0.7079300284385681,0.8979912996292114,0.4155971109867096,0.7459622025489807,0.9794927835464478,7.025489807128906,0.0,0.0,0.0,0.8979912996292114,13,0.4142780005931854,11,0
14,0.6936166882514954,0.8866886496543884,0.4167858958244324,0.7451556921005249,0.9621982574462891,7.02859354019165,0.0,0.0,0.0,0.8866886496543884,14,0.4142780005931854,11,0
15,0.6797576546669006,0.8757919669151306,0.4180152118206024,0.7444823384284973,0.9464309215545654,7.03189754486084,0.0,0.0,0.0,0.8757919669151306,15,0.4142780005931854,11,0
16,0.6663014888763428,0.8652433156967163,0.4196029007434845,0.7438875436782837,0.9320175051689148,7.035394668579102,0.0,0.0,0.0,0.8652433156967163,16,0.4142780005931854,11,0
17,0.6532011032104492,0.8549891114234924,0.4211442768573761,0.743320107460022,0.9187852740287781,7.039074897766113,0.0,0.0,0.0,0.8549891114234924,17,0.4142780005931854,11,0
18,0.6404136419296265,0.8449795842170715,0.42252615094184875,0.7427331805229187,0.9065667390823364,7.042932510375977,0.0,0.0,0.0,0.8449795842170715,18,0.4142780005931854,11,0
19,0.6279003620147705,0.8351696729660034,0.4237084984779358,0.7420847415924072,0.895202100276947,7.046957969665527,0.0,0.0,0.0,0.8351696729660034,19,0.4142780005931854,11,0
20,0.6156270503997803,0.8255198001861572,0.424479216337204,0.7413380146026611,0.8845416903495789,7.051146507263184,0.0,0.0,0.0,0.8255198001861572,20,0.4142780005931854,11,0
21,0.6035637259483337,0.8159955739974976,0.42481529712677,0.7404624819755554,0.8744468092918396,7.055490970611572,0.0,0.0,0.0,0.8159955739974976,21,0.4142780005931854,11,0
22,0.5916850566864014,0.8065686225891113,0.4247260093688965,0.7394339442253113,0.8647909760475159,7.059992790222168,0.0,0.0,0.0,0.8065686225891113,22,0.4142780005931854,11,0
23,0.5799701809883118,0.797216534614563,0.4242701232433319,0.7382350564002991,0.855460524559021,7.06464958190918,0.0,0.0,0.0,0.797216534614563,23,0.4142780005931854,11,0
24,0.5684026479721069,0.7879222631454468,0.4233846366405487,0.7368539571762085,0.8463546633720398,7.069466590881348,0.0,0.0,0.0,0.7879222631454468,24,0.4142780005931854,11,0
25,0.556970477104187,0.7786742448806763,0.4220843017101288,0.7352854609489441,0.8373855948448181,7.074447154998779,0.0,0.0,0.0,0.7786742448806763,25,0.4142780005931854,11,0
26,0.5456655025482178,0.7694655060768127,0.4203891456127167,0.7335290908813477,0.8284777998924255,7.079598426818848,0.0,0.0,0.0,0.7694655060768127,26,0.4142780005931854,11,0
27,0.5344835519790649,0.7602940201759338,0.4183402359485626,0.7315897345542908,0.819567859172821,7.084925174713135,0.0,0.0,0.0,0.7602940201759338,27,0.4142780005931854,11,0
28,0.5234231948852539,0.7511613368988037,0.4159558117389679,0.7294762134552002,0.8106030225753784,7.09043550491333,0.0,0.0,0.0,0.7511613368988037,28,0.4142780005931854,11,0
29,0.5124859809875488,0.7420727014541626,0.4133302569389343,0.7272010445594788,0.8015406727790833,7.096134662628174,0.0,0.0,0.0,0.7420727014541626,29,0.4133302569389343,29,0
30,0.5016757845878601,0.7330360412597656,0.4104480445384979,0.7247797250747681,0.7923473715782166,7.10202693939209,0.0,0.0,0.0,0.7330360412597656,30,0.4104480445384979,30,0
31,0.4909978210926056,0.7240619659423828,0.4073750972747803,0.7222303748130798,0.7829979062080383,7.108118057250977,0.0,0.0,0.0,0.7240619659423828,31,0.4073750972747803,31,0
32,0.48045915365219116,0.7151632308959961,0.40417221188545227,0.719572901725769,0.7734742760658264,7.114411354064941,0.0,0.0,0.0,0.7151632308959961,32,0.40417221188545227,32,0
33,0.47006741166114807,0.7063542604446411,0.4008919298648834,0.716828465461731,0.7637650370597839,7.120909690856934,0.0,0.0,0.0,0.7063542604446411,33,0.4008919298648834,33,0
34,0.4598309397697449,0.6976509690284729,0.397539883852005,0.714019775390625,0.7538645267486572,7.1276164054870605,0.0,0.0,0.0,0.6976509690284729,34,0.397539883852005,34,0
35,0.4497584104537964,0.689070463180542,0.39427104592323303,0.7111697196960449,0.7437721490859985,7.1345319747924805,0.0,0.0,0.0,0.689070463180542,35,0.39427104592323303,35,0
36,0.43985822796821594,0.6806306838989258,0.39106279611587524,0.7083017826080322,0.7334920763969421,7.141660690307617,0.0,0.0,0.0,0.6806306838989258,36,0.39106279611587524,36,0
37,0.4301389455795288,0.6723501682281494,0.3878641128540039,0.7054394483566284,0.7230326533317566,7.149003028869629,0.0,0.0,0.0,0.6723501682281494,37,0.3878641128540039,37,0
38,0.4206082820892334,0.6642476320266724,0.38477882742881775,0.7026056051254272,0.7124053835868835,7.156562328338623,0.0,0.0,0.0,0.6642476320266724,38,0.38477882742881775,38,0
39,0.41127312183380127,0.6563417911529541,0.38177725672721863,0.6998225450515747,0.7016243934631348,7.16433572769165,0.0,0.0,0.0,0.6563417911529541,39,0.38177725672721863,39,0
40,0.4021396040916443,0.6486508846282959,0.37892842292785645,0.6971111297607422,0.6907051801681519,7.1723198890686035,0.0,0.0,0.0,0.6486508846282959,40,0.37892842292785645,40,0
41,0.39321261644363403,0.6411924958229065,0.37631693482398987,0.6944908499717712,0.6796635985374451,7.180509567260742,0.0,0.0,0.0,0.6411924958229065,41,0.37631693482398987,41,0
42,0.3844957649707794,0.6339830160140991,0.3740309476852417,0.6919792890548706,0.6685143113136292,7.188894748687744,0.0,0.0,0.0,0.6339830160140991,42,0.3740309476852417,42,0
43,0.3759913444519043,0.6270377039909363,0.37203705310821533,0.6895920038223267,0.6572696566581726,7.197464466094971,0.0,0.0,0.0,0.6270377039909363,43,0.37203705310821533,43,0
44,0.3677004277706146,0.6203700304031372,0.37032368779182434,0.6873421669006348,0.645938515663147,7.2062087059021,0.0,0.0,0.0,0.6203700304031372,44,0.37032368779182434,44,0
45,0.3596232235431671,0.6139915585517883,0.36878830194473267,0.685240626335144,0.6345265507698059,7.215114593505859,0.0,0.0,0.0,0.6139915585517883,45,0.36878830194473267,45,0
46,0.3517592251300812,0.6079121828079224,0.36743083596229553,0.6832959055900574,0.6230362057685852,7.22416877746582,0.0,0.0,0.0,0.6079121828079224,46,0.36743083596229553,46,0
47,0.3441077768802643,0.6021397113800049,0.3662773072719574,0.6815140843391418,0.6114684343338013,7.233360290527344,0.0,0.0,0.0,0.6021397113800049,47,0.3662773072719574,47,0
48,0.33666861057281494,0.5966798067092896,0.3652922213077545,0.6798995733261108,0.5998244285583496,7.242677211761475,0.0,0.0,0.0,0.5966798067092896,48,0.3652922213077545,48,0
49,0.32944202423095703,0.5915361046791077,0.3644722104072571,0.678454577922821,0.5881085991859436,7.252110481262207,0.0,0.0,0.0,0.5915361046791077,49,0.3644722104072571,49,0
50,0.3224292993545532,0.5867101550102234,0.3638099431991577,0.6771793365478516,0.5763310790061951,7.261653423309326,0.0,0.0,0.0,0.5867101550102234,50,0.3638099431991577,50,0
51,0.3156326115131378,0.5822010040283203,0.36325448751449585,0.6760718822479248,0.5645092129707336,7.27130126953125,0.0,0.0,0.0,0.5822010040283203,51,0.36325448751449585,51,0
52,0.3090548515319824,0.5780051350593567,0.36279577016830444,0.6751277446746826,0.5526689291000366,7.2810516357421875,0.0,0.0,0.0,0.5780051350593567,52,0.36279577016830444,52,0
53,0.3026994466781616,0.5741159319877625,0.3624252378940582,0.6743394732475281,0.5408449172973633,7.290903091430664,0.0,0.0,0.0,0.5741159319877625,53,0.3624252378940582,53,0
