epoch,train_core_loss,validation_core_loss,validation_mae,validation_rmse,gradient_l2_norm,parameter_l2_norm,mean_flow_displacement,median_flow_displacement,p95_flow_displacement,best_validation_core_loss_so_far,best_core_epoch,shadow_best_validation_mae_so_far,shadow_best_mae_epoch,stale_epochs
1,0.8950169086456299,0.9092983603477478,0.4304704964160919,0.576831579208374,1.215925931930542,7.124029636383057,0.0,0.0,0.0,0.9092983603477478,1,0.4304704964160919,1,0
2,0.8739984631538391,0.89130699634552,0.43009448051452637,0.5767347812652588,1.1881506443023682,7.124688625335693,0.0,0.0,0.0,0.89130699634552,2,0.43009448051452637,2,0
3,0.8536072373390198,0.8738965392112732,0.42968642711639404,0.5766732692718506,1.1614876985549927,7.125874996185303,0.0,0.0,0.0,0.8738965392112732,3,0.42968642711639404,3,0
4,0.833834171295166,0.8570361733436584,0.429231196641922,0.576615571975708,1.1360156536102295,7.127590179443359,0.0,0.0,0.0,0.8570361733436584,4,0.429231196641922,4,0
5,0.8146638870239258,0.8406982421875,0.4287233054637909,0.5765288472175598,1.111703872680664,7.129745960235596,0.0,0.0,0.0,0.8406982421875,5,0.4287233054637909,5,0
6,0.7960802316665649,0.8248515725135803,0.4281563460826874,0.5763797163963318,1.0884881019592285,7.132277011871338,0.0,0.0,0.0,0.8248515725135803,6,0.4281563460826874,6,0
7,0.7780642509460449,0.8094617128372192,0.4274875223636627,0.5761380791664124,1.0663105249404907,7.135132789611816,0.0,0.0,0.0,0.8094617128372192,7,0.4274875223636627,7,0
8,0.7605931758880615,0.794497013092041,0.4267188310623169,0.5757840275764465,1.0451158285140991,7.138278961181641,0.0,0.0,0.0,0.794497013092041,8,0.4267188310623169,8,0
9,0.7436413764953613,0.7799329161643982,0.42585256695747375,0.5753113031387329,1.0248417854309082,7.141695499420166,0.0,0.0,0.0,0.7799329161643982,9,0.42585256695747375,9,0
10,0.7271833419799805,0.7657511830329895,0.4249159097671509,0.574724018573761,1.0054200887680054,7.145369052886963,0.0,0.0,0.0,0.7657511830329895,10,0.4249159097671509,10,0
11,0.7111953496932983,0.7519373297691345,0.4239373803138733,0.5740311145782471,0.9867817759513855,7.149286270141602,0.0,0.0,0.0,0.7519373297691345,11,0.4239373803138733,11,0
12,0.6956551671028137,0.7384787201881409,0.42290642857551575,0.5732433795928955,0.9688595533370972,7.153432369232178,0.0,0.0,0.0,0.7384787201881409,12,0.42290642857551575,12,0
13,0.6805426478385925,0.7253640294075012,0.4218154847621918,0.5723724365234375,0.951589047908783,7.157792568206787,0.0,0.0,0.0,0.7253640294075012,13,0.4218154847621918,13,0
14,0.6658391356468201,0.712583065032959,0.4207301139831543,0.5714309811592102,0.9349092841148376,7.162354946136475,0.0,0.0,0.0,0.712583065032959,14,0.4207301139831543,14,0
15,0.6515275239944458,0.7001272439956665,0.4196079671382904,0.5704323053359985,0.9187633991241455,7.167108058929443,0.0,0.0,0.0,0.7001272439956665,15,0.4196079671382904,15,0
16,0.637591540813446,0.6879886388778687,0.41848090291023254,0.5693902969360352,0.9030978083610535,7.172042369842529,0.0,0.0,0.0,0.6879886388778687,16,0.41848090291023254,16,0
17,0.6240164041519165,0.6761603951454163,0.4173292815685272,0.5683190226554871,0.8878615498542786,7.177148342132568,0.0,0.0,0.0,0.6761603951454163,17,0.4173292815685272,17,0
18,0.6107876300811768,0.6646362543106079,0.4161638617515564,0.5672324895858765,0.8730056285858154,7.182416915893555,0.0,0.0,0.0,0.6646362543106079,18,0.4161638617515564,18,0
19,0.5978919863700867,0.6534106135368347,0.4150065779685974,0.5661441087722778,0.8584828972816467,7.187839984893799,0.0,0.0,0.0,0.6534106135368347,19,0.4150065779685974,19,0
20,0.5853167176246643,0.642478346824646,0.41388753056526184,0.5650666356086731,0.8442471623420715,7.193414211273193,0.0,0.0,0.0,0.642478346824646,20,0.41388753056526184,20,0
21,0.5730502605438232,0.6318350434303284,0.41281071305274963,0.5640116930007935,0.8302538990974426,7.19913387298584,0.0,0.0,0.0,0.6318350434303284,21,0.41281071305274963,21,0
22,0.5610819458961487,0.6214766502380371,0.4118153154850006,0.5629895329475403,0.8164598941802979,7.204995632171631,0.0,0.0,0.0,0.6214766502380371,22,0.4118153154850006,22,0
23,0.5494022369384766,0.6113998293876648,0.41086041927337646,0.5620090961456299,0.8028237819671631,7.210998058319092,0.0,0.0,0.0,0.6113998293876648,23,0.41086041927337646,23,0
24,0.5380029678344727,0.6016014218330383,0.4099480211734772,0.5610775351524353,0.7893068194389343,7.2171406745910645,0.0,0.0,0.0,0.6016014218330383,24,0.4099480211734772,24,0
25,0.5268771052360535,0.5920788049697876,0.40909844636917114,0.5602001547813416,0.775873601436615,7.2234206199646,0.0,0.0,0.0,0.5920788049697876,25,0.40909844636917114,25,0
26,0.5160190463066101,0.5828295946121216,0.4083133339881897,0.5593806505203247,0.7624922394752502,7.2298407554626465,0.0,0.0,0.0,0.5828295946121216,26,0.4083133339881897,26,0
27,0.5054245591163635,0.5738516449928284,0.40756213665008545,0.5586211085319519,0.7491353154182434,7.236400604248047,0.0,0.0,0.0,0.5738516449928284,27,0.40756213665008545,27,0
28,0.49509018659591675,0.5651427507400513,0.4068443179130554,0.5579220652580261,0.7357799410820007,7.243102073669434,0.0,0.0,0.0,0.5651427507400513,28,0.4068443179130554,28,0
29,0.48501405119895935,0.5567010641098022,0.40616467595100403,0.5572829246520996,0.7224081754684448,7.249944686889648,0.0,0.0,0.0,0.5567010641098022,29,0.40616467595100403,29,0
30,0.4751948416233063,0.5485245585441589,0.40552496910095215,0.5567021369934082,0.7090071439743042,7.256930828094482,0.0,0.0,0.0,0.5485245585441589,30,0.40552496910095215,30,0
31,0.46563220024108887,0.5406112670898438,0.4049123525619507,0.5561771392822266,0.6955686211585999,7.264062881469727,0.0,0.0,0.0,0.5406112670898438,31,0.4049123525619507,31,0
32,0.4563262164592743,0.5329592227935791,0.40432411432266235,0.5557051301002502,0.6820895075798035,7.271340847015381,0.0,0.0,0.0,0.5329592227935791,32,0.40432411432266235,32,0
33,0.44727757573127747,0.525566041469574,0.4037744998931885,0.5552826523780823,0.6685712337493896,7.278765678405762,0.0,0.0,0.0,0.525566041469574,33,0.4037744998931885,33,0
34,0.43848705291748047,0.5184295177459717,0.4032669961452484,0.5549062490463257,0.6550197601318359,7.2863383293151855,0.0,0.0,0.0,0.5184295177459717,34,0.4032669961452484,34,0
35,0.4299556016921997,0.5115471482276917,0.4027884900569916,0.554572343826294,0.6414452195167542,7.294057846069336,0.0,0.0,0.0,0.5115471482276917,35,0.4027884900569916,35,0
