epoch,train_core_loss,validation_core_loss,validation_mae,validation_rmse,gradient_l2_norm,parameter_l2_norm,mean_flow_displacement,median_flow_displacement,p95_flow_displacement,best_validation_core_loss_so_far,best_core_epoch,shadow_best_validation_mae_so_far,shadow_best_mae_epoch,stale_epochs
1,0.767897367477417,0.9084782600402832,0.47963398694992065,0.7327761054039001,1.198236107826233,7.024806976318359,0.0,0.0,0.0,0.9084782600402832,1,0.47963398694992065,1,0
2,0.7449369430541992,0.891216516494751,0.4724034070968628,0.7295553684234619,1.168646216392517,7.025313377380371,0.0,0.0,0.0,0.891216516494751,2,0.4724034070968628,2,0
3,0.7226327061653137,0.874562680721283,0.4656161367893219,0.7266599535942078,1.1403517723083496,7.026082992553711,0.0,0.0,0.0,0.874562680721283,3,0.4656161367893219,3,0
4,0.7009820938110352,0.8584961891174316,0.4592689275741577,0.7240900993347168,1.1130456924438477,7.027135372161865,0.0,0.0,0.0,0.8584961891174316,4,0.4592689275741577,4,0
5,0.6799763441085815,0.8429874181747437,0.45350733399391174,0.7218418717384338,1.0867197513580322,7.028486251831055,0.0,0.0,0.0,0.8429874181747437,5,0.45350733399391174,5,0
6,0.65959632396698,0.8280119895935059,0.44823819398880005,0.7199034690856934,1.061362624168396,7.030155181884766,0.0,0.0,0.0,0.8280119895935059,6,0.44823819398880005,6,0
7,0.6398186087608337,0.8135611414909363,0.443392813205719,0.7182608246803284,1.0368871688842773,7.0321197509765625,0.0,0.0,0.0,0.8135611414909363,7,0.443392813205719,7,0
8,0.6206247210502625,0.7996388673782349,0.4395313858985901,0.7169029116630554,1.0131412744522095,7.034348487854004,0.0,0.0,0.0,0.7996388673782349,8,0.4395313858985901,8,0
9,0.6020050048828125,0.7862545251846313,0.4362071752548218,0.715822696685791,0.9899677038192749,7.036834716796875,0.0,0.0,0.0,0.7862545251846313,9,0.4362071752548218,9,0
10,0.5839563012123108,0.7734177112579346,0.4330010712146759,0.7150135636329651,0.9672436118125916,7.0395917892456055,0.0,0.0,0.0,0.7734177112579346,10,0.4330010712146759,10,0
11,0.566479504108429,0.7611348032951355,0.43047553300857544,0.7144661545753479,0.9448880553245544,7.042644023895264,0.0,0.0,0.0,0.7611348032951355,11,0.43047553300857544,11,0
12,0.5495773553848267,0.7494067549705505,0.4284210205078125,0.7141644358634949,0.9228577017784119,7.046016216278076,0.0,0.0,0.0,0.7494067549705505,12,0.4284210205078125,12,0
13,0.5332518219947815,0.738227128982544,0.42654475569725037,0.7140833139419556,0.901140034198761,7.04972505569458,0.0,0.0,0.0,0.738227128982544,13,0.42654475569725037,13,0
14,0.5175022482872009,0.7275820970535278,0.4250728189945221,0.7141886353492737,0.8797443509101868,7.053780555725098,0.0,0.0,0.0,0.7275820970535278,14,0.4250728189945221,14,0
15,0.5023237466812134,0.7174504995346069,0.4241163432598114,0.7144383788108826,0.8586919903755188,7.058183670043945,0.0,0.0,0.0,0.7174504995346069,15,0.4241163432598114,15,0
16,0.48770633339881897,0.7078065276145935,0.42374011874198914,0.714785635471344,0.8380070924758911,7.062930107116699,0.0,0.0,0.0,0.7078065276145935,16,0.42374011874198914,16,0
17,0.47363534569740295,0.6986217498779297,0.42348724603652954,0.7151831984519958,0.8177082538604736,7.068010330200195,0.0,0.0,0.0,0.6986217498779297,17,0.42348724603652954,17,0
18,0.4600929021835327,0.6898687481880188,0.4230973720550537,0.7155881524085999,0.7978035807609558,7.0734124183654785,0.0,0.0,0.0,0.6898687481880188,18,0.4230973720550537,18,0
19,0.44706010818481445,0.6815230846405029,0.4227128326892853,0.7159653306007385,0.778290331363678,7.079124450683594,0.0,0.0,0.0,0.6815230846405029,19,0.4227128326892853,19,0
20,0.4345187544822693,0.6735643148422241,0.4222319424152374,0.7162888050079346,0.7591572403907776,7.085133075714111,0.0,0.0,0.0,0.6735643148422241,20,0.4222319424152374,20,0
21,0.42245227098464966,0.6659759283065796,0.4214918911457062,0.7165408134460449,0.7403891086578369,7.091425895690918,0.0,0.0,0.0,0.6659759283065796,21,0.4214918911457062,21,0
22,0.4108463525772095,0.6587439775466919,0.4205876290798187,0.7167108654975891,0.7219706773757935,7.097991466522217,0.0,0.0,0.0,0.6587439775466919,22,0.4205876290798187,22,0
23,0.39968860149383545,0.6518564224243164,0.41941654682159424,0.7167929410934448,0.7038895487785339,7.104822158813477,0.0,0.0,0.0,0.6518564224243164,23,0.41941654682159424,23,0
24,0.3889678418636322,0.6453009843826294,0.4179915189743042,0.716783881187439,0.6861365437507629,7.111906051635742,0.0,0.0,0.0,0.6453009843826294,24,0.4179915189743042,24,0
25,0.3786737322807312,0.639065146446228,0.4163343906402588,0.7166813015937805,0.6687061190605164,7.11923360824585,0.0,0.0,0.0,0.639065146446228,25,0.4163343906402588,25,0
26,0.36879590153694153,0.6331347227096558,0.4144619405269623,0.7164823412895203,0.6515951156616211,7.126793384552002,0.0,0.0,0.0,0.6331347227096558,26,0.4144619405269623,26,0
27,0.35932397842407227,0.6274941563606262,0.41241103410720825,0.7161829471588135,0.6348018646240234,7.1345744132995605,0.0,0.0,0.0,0.6274941563606262,27,0.41241103410720825,27,0
28,0.35024672746658325,0.6221259236335754,0.41022059321403503,0.7157778739929199,0.6183246970176697,7.142560958862305,0.0,0.0,0.0,0.6221259236335754,28,0.41022059321403503,28,0
29,0.3415525555610657,0.6170117259025574,0.407962828874588,0.7152604460716248,0.6021618247032166,7.1507415771484375,0.0,0.0,0.0,0.6170117259025574,29,0.407962828874588,29,0
30,0.33322930335998535,0.612132728099823,0.4056231677532196,0.7146241068840027,0.5863101482391357,7.159100532531738,0.0,0.0,0.0,0.612132728099823,30,0.4056231677532196,30,0
31,0.3252642750740051,0.6074704527854919,0.4033263623714447,0.7138630747795105,0.5707659125328064,7.167624473571777,0.0,0.0,0.0,0.6074704527854919,31,0.4033263623714447,31,0
32,0.3176446855068207,0.6030081510543823,0.40105140209198,0.712973415851593,0.5555251836776733,7.1763014793396,0.0,0.0,0.0,0.6030081510543823,32,0.40105140209198,32,0
33,0.31035780906677246,0.5987316370010376,0.39873257279396057,0.7119547128677368,0.5405848622322083,7.18511962890625,0.0,0.0,0.0,0.5987316370010376,33,0.39873257279396057,33,0
34,0.3033914268016815,0.5946296453475952,0.39638587832450867,0.7108100652694702,0.5259444117546082,7.194069862365723,0.0,0.0,0.0,0.5946296453475952,34,0.39638587832450867,34,0
35,0.29673394560813904,0.5906940698623657,0.3940177857875824,0.7095466256141663,0.5116072297096252,7.2031450271606445,0.0,0.0,0.0,0.5906940698623657,35,0.3940177857875824,35,0
36,0.2903745472431183,0.5869201421737671,0.39173880219459534,0.7081754803657532,0.49758148193359375,7.212339401245117,0.0,0.0,0.0,0.5869201421737671,36,0.39173880219459534,36,0
