stage,world,cohort_seed,subset_seed,model_seed,n_train,n_fit,n_validation,model,variant,optimization_policy,split,site_or_shift,metric,value,trainable_parameters,backend
phase07,smooth,406,506,1102,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,mae,0.2602082788944244,4156,torch
phase07,smooth,406,506,1102,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,rmse,0.4188489825422724,4156,torch
phase07,smooth,406,506,1102,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5140109905867144,4156,torch
phase07,smooth,406,506,1102,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_brier,0.0323148695167035,4156,torch
phase07,smooth,406,506,1102,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_log_loss,0.1506910568937852,4156,torch
phase07,smooth,406,506,1102,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.3397949056214789,4156,torch
phase07,smooth,406,506,1102,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,mae,0.2602082788944244,4156,torch
phase07,smooth,406,506,1102,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,rmse,0.4188489825422724,4156,torch
phase07,smooth,406,506,1102,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_roc_auc,0.5140109905867144,4156,torch
phase07,smooth,406,506,1102,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_brier,0.0323148695167035,4156,torch
phase07,smooth,406,506,1102,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,event_log_loss,0.1506910568937852,4156,torch
phase07,smooth,406,506,1102,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,standard_early_stop,test,all,latent_aligned_r2,0.3397949056214789,4156,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,mae,0.2829635143280029,3556,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,rmse,0.4553851291326824,3556,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5326612498651535,3556,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_brier,0.0290146204565339,3556,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,event_log_loss,0.1355105739980416,3556,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,none__none__deterministic,forced_horizon,test,all,latent_aligned_r2,0.3267441445107702,3556,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,mae,0.2829635143280029,3556,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,rmse,0.4553851291326824,3556,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_roc_auc,0.5326612498651535,3556,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_brier,0.0290146204565339,3556,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,event_log_loss,0.1355105739980416,3556,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,none__none__deterministic,standard_early_stop,test,all,latent_aligned_r2,0.3267441445107702,3556,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,mae,0.2615249454975128,4156,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,rmse,0.4197283099081766,4156,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_roc_auc,0.5095210056824481,4156,torch
phase07,smooth,406,506,1103,40,32,8,phase05_flow_jump,time_scaled__none__deterministic,forced_horizon,test,all,event_brier,0.0321147304508981,4156,torch
