mechanism,family,raw_pearson,raw_spearman,context_demeaned_pearson,context_demeaned_spearman,two_way_pearson,two_way_spearman,permutation_pvalue,permutation_resamples,permutation_seed,permutation_pvalue_holm
delta_selected_epoch,primary,0.8727550304515703,0.8579162205296764,0.7499519990282479,0.6714184344777548,0.8249029281793665,0.7859303721488595,9.999000099990002e-05,10000,20260827,0.0004999500049995
delta_stop_epoch,primary,0.8822532741278427,0.8421088090965457,0.7478269164298222,0.6658757353170972,0.8350818658076427,0.7935837177748238,9.999000099990002e-05,10000,20260827,0.0004999500049995
delta_shadow_mae_epoch,primary,0.7668469867692451,0.7995614919596346,0.630312587228464,0.5242953948477622,0.6586989554874013,0.6351172899139148,9.999000099990002e-05,10000,20260827,0.0004999500049995
delta_selection_shadow_gap,primary,-0.35232911898709446,-0.10898567948762002,-0.22693150172065404,-0.15865979853592635,-0.1978186031055489,-0.18137290216277457,0.22877712228777122,10000,20260827,0.22877712228777122
delta_patience_exhausted,primary,-0.7350260834991457,-0.7181048120447162,-0.6783872750854136,-0.6231100367857383,-0.7135789708150727,-0.6917796433681714,9.999000099990002e-05,10000,20260827,0.0004999500049995
delta_prefix10_gradient_l2_mean,secondary,0.07560126087979041,0.04835534213685474,0.13621879332522788,0.09512605042016806,-0.20117248895659787,-0.15553421368547415,0.23277672232776722,10000,20260827,
delta_prefix10_parameter_l2_mean,secondary,0.38572392384165616,0.3780552220888355,0.5987166956056661,0.584249699879952,-0.08847886721867777,-0.08542617046818726,0.6044395560443956,10000,20260827,
candidate_prefix10_flow_displacement_mean,secondary,-0.15501243477515514,-0.24667466986794717,-0.0015851608921955349,-0.1316206482593037,0.1611786199198196,0.135078031212485,0.34536546345365465,10000,20260827,
