epoch,train_core_loss,validation_core_loss,validation_mae,validation_rmse,gradient_l2_norm,parameter_l2_norm,mean_flow_displacement,median_flow_displacement,p95_flow_displacement,best_validation_core_loss_so_far,best_core_epoch,shadow_best_validation_mae_so_far,shadow_best_mae_epoch,stale_epochs
1,0.8370263576507568,0.7338030338287354,0.420328825712204,0.5489713549613953,1.3774266242980957,7.511604309082031,0.2347518503665924,0.19537784159183502,0.5602246522903442,0.7338030338287354,1,0.420328825712204,1,0
2,0.8054606318473816,0.7055301666259766,0.40930938720703125,0.5344293117523193,1.3368628025054932,7.51306676864624,0.23418083786964417,0.19674673676490784,0.5542138814926147,0.7055301666259766,2,0.40930938720703125,2,0
3,0.7747395634651184,0.6779565811157227,0.3980787396430969,0.51978600025177,1.3000637292861938,7.5148162841796875,0.23452913761138916,0.19928708672523499,0.5499380826950073,0.6779565811157227,3,0.3980787396430969,3,0
4,0.7447648644447327,0.6511001586914062,0.3866350054740906,0.5050855278968811,1.266430139541626,7.516889572143555,0.23581895232200623,0.2029714286327362,0.5476076006889343,0.6511001586914062,4,0.3866350054740906,4,0
5,0.7154818773269653,0.6249878406524658,0.37518709897994995,0.4903720021247864,1.2353515625,7.519284725189209,0.2380748987197876,0.20777671039104462,0.5444498062133789,0.6249878406524658,5,0.37518709897994995,5,0
6,0.6868459582328796,0.5996238589286804,0.3647315502166748,0.4756511151790619,1.2064428329467773,7.522021293640137,0.2412964105606079,0.21365997195243835,0.5478892922401428,0.5996238589286804,6,0.3647315502166748,6,0
7,0.6588174104690552,0.5749990940093994,0.35401779413223267,0.4609106183052063,1.1793442964553833,7.525119781494141,0.24546417593955994,0.22055552899837494,0.5495015382766724,0.5749990940093994,7,0.35401779413223267,7,0
8,0.631360650062561,0.5511032938957214,0.3429933190345764,0.4461366534233093,1.153691291809082,7.528583526611328,0.2505500912666321,0.22838856279850006,0.5544146299362183,0.5511032938957214,8,0.3429933190345764,8,0
9,0.6044427156448364,0.5279324650764465,0.3316025137901306,0.43133148550987244,1.1291075944900513,7.53240966796875,0.2565244436264038,0.23708876967430115,0.5632461905479431,0.5279324650764465,9,0.3316025137901306,9,0
10,0.5780366659164429,0.5054945945739746,0.32160142064094543,0.4165312647819519,1.1051976680755615,7.53660249710083,0.26336103677749634,0.2465979903936386,0.5792849659919739,0.5054945945739746,10,0.32160142064094543,10,0
11,0.5521249771118164,0.483813613653183,0.3122435212135315,0.4018213450908661,1.08154296875,7.541167736053467,0.2710416316986084,0.2568757236003876,0.5993672013282776,0.483813613653183,11,0.3122435212135315,11,0
12,0.5267037749290466,0.46293023228645325,0.302570641040802,0.3873470425605774,1.0577043294906616,7.546107769012451,0.2795574963092804,0.26790156960487366,0.6209942698478699,0.46293023228645325,12,0.302570641040802,12,0
13,0.501784086227417,0.44290244579315186,0.2938086986541748,0.37332406640052795,1.0332279205322266,7.551420211791992,0.2889072299003601,0.2788408100605011,0.6441495418548584,0.44290244579315186,13,0.2938086986541748,13,0
14,0.477394700050354,0.4238055348396301,0.28560125827789307,0.36004993319511414,1.0076568126678467,7.557094097137451,0.2990940809249878,0.2842041254043579,0.6688381433486938,0.4238055348396301,14,0.28560125827789307,14,0
15,0.4535834491252899,0.40573230385780334,0.27724725008010864,0.34791284799575806,0.9805464148521423,7.563121795654297,0.31012260913848877,0.2844126224517822,0.6950789093971252,0.40573230385780334,15,0.27724725008010864,15,0
16,0.4304197132587433,0.38879141211509705,0.2687879800796509,0.3373950719833374,0.9514901041984558,7.569494247436523,0.32199499011039734,0.28475290536880493,0.7228957414627075,0.38879141211509705,16,0.2687879800796509,16,0
