n_train,component,sum_squares,variance_share,factor_classification
5,cohort,8.3625050853583e-05,0.007891380545651533,weak
5,subset,0.0011262287390182727,0.10627795702753419,unresolved
5,model,0.004258042967878737,0.40181544999116586,unresolved
5,residual,0.005129114800596284,0.4840152124356482,not_applicable
40,cohort,0.0011623098960595116,0.033421938307393734,weak
40,subset,0.002281665166824938,0.06560872681397857,unresolved
40,model,0.02079619802148112,0.5979896150404095,dominant
40,residual,0.010536681727863578,0.3029797198382182,not_applicable
