candidate,control,n_train,metric,candidate_mean,control_mean,mean_effect,median_effect,sd_effect,wins,win_fraction
gated,none,5,event_brier,0.03404991888929364,0.030835250845667867,-0.0032146680436257744,-0.0030567606749967516,0.005129028596273504,2,0.4
gated,none,5,event_log_loss,0.17582942630965387,0.14002032193559938,-0.035809104374054476,-0.0463253536650603,0.02115734368663874,0,0.0
gated,none,5,event_roc_auc,0.51290043952555,0.5028694455480746,0.010030993977475477,0.024948080415356733,0.0298695534832821,4,0.8
gated,none,5,latent_aligned_r2,0.2065501071060441,0.26541137409206667,-0.058861266986022606,-0.06453074672861897,0.04206024423438333,0,0.0
gated,none,5,mae,0.4079977452754974,0.38497027158737185,-0.023027473688125612,-0.02977728843688965,0.02299564023882743,1,0.2
gated,none,5,rmse,0.6196711716319411,0.6055838459970417,-0.014087325634899317,-0.022143312404407145,0.02289626332499341,1,0.2
gated,none,10,event_brier,0.036643308752954,0.032642979111985694,-0.004000329640968304,-0.004557239421020126,0.004074134873507308,1,0.2
gated,none,10,event_log_loss,0.16855671200760164,0.15147604156907823,-0.017080670438523383,-0.01652319574114386,0.004489881004796628,0,0.0
gated,none,10,event_roc_auc,0.505080978605361,0.5019452290131564,0.0031357495922046397,0.0015179878560970805,0.016230099207213498,4,0.8
gated,none,10,latent_aligned_r2,0.2506560660861865,0.29587609175513246,-0.04522002566894591,-0.039390610114196145,0.0389937288222488,1,0.2
gated,none,10,mae,0.3447596848011017,0.33129775524139404,-0.013461929559707642,-0.011380255222320557,0.023277643288359982,1,0.2
gated,none,10,rmse,0.5229066480820113,0.5195666671010618,-0.0033399809809493974,0.00018744225189537556,0.037402567894120935,3,0.6
gated,none,20,event_brier,0.04042158921406509,0.031548330751878,-0.008873258462187101,-0.0021632640502091613,0.016821826775435585,1,0.2
gated,none,20,event_log_loss,0.17633353539615207,0.1459989478208527,-0.03033458757529934,-0.012871853086990404,0.05762477691000116,1,0.2
gated,none,20,event_roc_auc,0.5175394955769785,0.49833764566647326,0.01920184991050532,0.021150621147271287,0.008206650779649908,5,1.0
gated,none,20,latent_aligned_r2,0.2690494857151096,0.3226768061761509,-0.05362732046104128,-0.07383554051775582,0.03679426994873357,0,0.0
gated,none,20,mae,0.31317888498306273,0.2990104675292969,-0.01416841745376587,-0.017894595861434937,0.06271388238736204,2,0.4
gated,none,20,rmse,0.4728554689847294,0.46652986613080766,-0.0063256028539215746,-0.018386088074205553,0.09430474344313397,2,0.4
