backend,cohort_seed,metric,model,model_seed,n_fit,n_train,n_validation,site_or_shift,split,stage,subset_seed,trainable_parameters,value,variant,world
torch,401,mae,phase05_flow_jump,601,32,40,8,all,test,flow,501,4156,0.26485440135002136,time_scaled__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,32,40,8,all,test,flow,501,4156,0.4078687914002569,time_scaled__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,32,40,8,all,test,flow,501,4156,0.5407812912504679,time_scaled__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,32,40,8,all,test,flow,501,4156,0.030913534913023698,time_scaled__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,32,40,8,all,test,flow,501,4156,0.14008496943197027,time_scaled__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,32,40,8,all,test,flow,501,4156,0.29836205756216644,time_scaled__none__deterministic,smooth
torch,401,mae,phase05_flow_jump,601,4,5,1,all,test,flow,501,4804,0.41008707880973816,gated__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,4,5,1,all,test,flow,501,4804,0.632020831876882,gated__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,4,5,1,all,test,flow,501,4804,0.5365966861713656,gated__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,4,5,1,all,test,flow,501,4804,0.04010492742493243,gated__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,4,5,1,all,test,flow,501,4804,0.1873481815431646,gated__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,4,5,1,all,test,flow,501,4804,0.16655322491506575,gated__none__deterministic,smooth
torch,401,mae,phase05_flow_jump,601,4,5,1,all,test,flow,501,3556,0.3842839300632477,none__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,4,5,1,all,test,flow,501,3556,0.6187954731810166,none__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,4,5,1,all,test,flow,501,3556,0.5073150107374351,none__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,4,5,1,all,test,flow,501,3556,0.029665483177615363,none__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,4,5,1,all,test,flow,501,3556,0.13342197335076875,none__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,4,5,1,all,test,flow,501,3556,0.28362402780359247,none__none__deterministic,smooth
torch,401,mae,phase05_flow_jump,601,4,5,1,all,test,flow,501,4156,0.3670192062854767,time_scaled__none__deterministic,smooth
torch,401,rmse,phase05_flow_jump,601,4,5,1,all,test,flow,501,4156,0.5834361025564154,time_scaled__none__deterministic,smooth
torch,401,event_roc_auc,phase05_flow_jump,601,4,5,1,all,test,flow,501,4156,0.5355290895837027,time_scaled__none__deterministic,smooth
torch,401,event_brier,phase05_flow_jump,601,4,5,1,all,test,flow,501,4156,0.030102222162096556,time_scaled__none__deterministic,smooth
torch,401,event_log_loss,phase05_flow_jump,601,4,5,1,all,test,flow,501,4156,0.15243834171639345,time_scaled__none__deterministic,smooth
torch,401,latent_aligned_r2,phase05_flow_jump,601,4,5,1,all,test,flow,501,4156,0.23733646939720546,time_scaled__none__deterministic,smooth
torch,402,mae,phase05_flow_jump,602,8,10,2,all,test,flow,502,4804,0.35813143849372864,gated__none__deterministic,smooth
torch,402,rmse,phase05_flow_jump,602,8,10,2,all,test,flow,502,4804,0.5309995172933047,gated__none__deterministic,smooth
torch,402,event_roc_auc,phase05_flow_jump,602,8,10,2,all,test,flow,502,4804,0.52102907387492,gated__none__deterministic,smooth
torch,402,event_brier,phase05_flow_jump,602,8,10,2,all,test,flow,502,4804,0.03687480397101783,gated__none__deterministic,smooth
torch,402,event_log_loss,phase05_flow_jump,602,8,10,2,all,test,flow,502,4804,0.1607996980118398,gated__none__deterministic,smooth
torch,402,latent_aligned_r2,phase05_flow_jump,602,8,10,2,all,test,flow,502,4804,0.2261639338413384,gated__none__deterministic,smooth
torch,402,mae,phase05_flow_jump,602,8,10,2,all,test,flow,502,3556,0.3356918394565582,none__none__deterministic,smooth
torch,402,rmse,phase05_flow_jump,602,8,10,2,all,test,flow,502,3556,0.5378970664531386,none__none__deterministic,smooth
torch,402,event_roc_auc,phase05_flow_jump,602,8,10,2,all,test,flow,502,3556,0.5104720632414916,none__none__deterministic,smooth
torch,402,event_brier,phase05_flow_jump,602,8,10,2,all,test,flow,502,3556,0.03231756454999771,none__none__deterministic,smooth
torch,402,event_log_loss,phase05_flow_jump,602,8,10,2,all,test,flow,502,3556,0.1477527724355632,none__none__deterministic,smooth
torch,402,latent_aligned_r2,phase05_flow_jump,602,8,10,2,all,test,flow,502,3556,0.21581112217105858,none__none__deterministic,smooth
torch,402,mae,phase05_flow_jump,602,8,10,2,all,test,flow,502,4156,0.31949976086616516,time_scaled__none__deterministic,smooth
torch,402,rmse,phase05_flow_jump,602,8,10,2,all,test,flow,502,4156,0.5071382594811633,time_scaled__none__deterministic,smooth
torch,402,event_roc_auc,phase05_flow_jump,602,8,10,2,all,test,flow,502,4156,0.5036596778729763,time_scaled__none__deterministic,smooth
torch,402,event_brier,phase05_flow_jump,602,8,10,2,all,test,flow,502,4156,0.03213977412823098,time_scaled__none__deterministic,smooth
torch,402,event_log_loss,phase05_flow_jump,602,8,10,2,all,test,flow,502,4156,0.1760256835844953,time_scaled__none__deterministic,smooth
torch,402,latent_aligned_r2,phase05_flow_jump,602,8,10,2,all,test,flow,502,4156,0.2782470699578113,time_scaled__none__deterministic,smooth
torch,402,mae,phase05_flow_jump,602,16,20,4,all,test,flow,502,4804,0.2767259180545807,gated__none__deterministic,smooth
torch,402,rmse,phase05_flow_jump,602,16,20,4,all,test,flow,502,4804,0.42558977213756183,gated__none__deterministic,smooth
torch,402,event_roc_auc,phase05_flow_jump,602,16,20,4,all,test,flow,502,4804,0.5347797730140552,gated__none__deterministic,smooth
torch,402,event_brier,phase05_flow_jump,602,16,20,4,all,test,flow,502,4804,0.030593163090612045,gated__none__deterministic,smooth
torch,402,event_log_loss,phase05_flow_jump,602,16,20,4,all,test,flow,502,4804,0.1449853395320667,gated__none__deterministic,smooth
torch,402,latent_aligned_r2,phase05_flow_jump,602,16,20,4,all,test,flow,502,4804,0.2701737015538672,gated__none__deterministic,smooth
torch,402,mae,phase05_flow_jump,602,16,20,4,all,test,flow,502,3556,0.3270762860774994,none__none__deterministic,smooth
torch,402,rmse,phase05_flow_jump,602,16,20,4,all,test,flow,502,3556,0.5216739895594065,none__none__deterministic,smooth
torch,402,event_roc_auc,phase05_flow_jump,602,16,20,4,all,test,flow,502,3556,0.5136291518667839,none__none__deterministic,smooth
torch,402,event_brier,phase05_flow_jump,602,16,20,4,all,test,flow,502,3556,0.03447738027559334,none__none__deterministic,smooth
torch,402,event_log_loss,phase05_flow_jump,602,16,20,4,all,test,flow,502,3556,0.16234203928389845,none__none__deterministic,smooth
torch,402,latent_aligned_r2,phase05_flow_jump,602,16,20,4,all,test,flow,502,3556,0.2777183451994859,none__none__deterministic,smooth
torch,402,mae,phase05_flow_jump,602,16,20,4,all,test,flow,502,4156,0.27353861927986145,time_scaled__none__deterministic,smooth
torch,402,rmse,phase05_flow_jump,602,16,20,4,all,test,flow,502,4156,0.4303535154876064,time_scaled__none__deterministic,smooth
torch,402,event_roc_auc,phase05_flow_jump,602,16,20,4,all,test,flow,502,4156,0.5040238156662531,time_scaled__none__deterministic,smooth
torch,402,event_brier,phase05_flow_jump,602,16,20,4,all,test,flow,502,4156,0.034413601449894006,time_scaled__none__deterministic,smooth
torch,402,event_log_loss,phase05_flow_jump,602,16,20,4,all,test,flow,502,4156,0.157497097489869,time_scaled__none__deterministic,smooth
torch,402,latent_aligned_r2,phase05_flow_jump,602,16,20,4,all,test,flow,502,4156,0.29975521696582935,time_scaled__none__deterministic,smooth
torch,402,mae,phase05_flow_jump,602,32,40,8,all,test,flow,502,4804,0.2684175670146942,gated__none__deterministic,smooth
torch,402,rmse,phase05_flow_jump,602,32,40,8,all,test,flow,502,4804,0.40918338382480784,gated__none__deterministic,smooth
torch,402,event_roc_auc,phase05_flow_jump,602,32,40,8,all,test,flow,502,4804,0.5277040933787016,gated__none__deterministic,smooth
