model_seed,mean_Delta_MAE,median_Delta_MAE,std_Delta_MAE,context_count
1001,0.007566285133361816,-0.02029666304588318,0.050094513796598274,5
1002,0.01167559027671814,-0.003929853439331055,0.02786889366442738,5
1003,0.022401642799377442,0.0290377140045166,0.03597402124783085,5
1004,0.03684208393096924,0.043218791484832764,0.026760812585334467,5
1005,0.020240825414657593,0.0015186667442321777,0.03738887393885002,5
1006,-0.005307924747467041,-0.024750709533691406,0.03819997197739407,5
1007,-0.0017715692520141602,0.027627170085906982,0.05178784177960607,5
1008,-0.016549092531204224,-0.027551233768463135,0.032868010293694135,5
1009,-0.014496946334838867,-0.016066282987594604,0.021038612772934118,5
1010,0.02884286642074585,0.04750847816467285,0.03155888534302028,5
