cell_id_standard,cohort_seed,subset_seed,model_seed,flow_mode,test_mae_standard,epochs_run_standard,stop_epoch_standard,early_stop_reason_standard,would_patience_exhaust_epoch_standard,selected_checkpoint_epoch_standard,shadow_mae_checkpoint_epoch_standard,selected_validation_core_loss_standard,shadow_validation_mae_standard,cell_id_forced,test_mae_forced,epochs_run_forced,stop_epoch_forced,early_stop_reason_forced,would_patience_exhaust_epoch_forced,selected_checkpoint_epoch_forced,shadow_mae_checkpoint_epoch_forced,selected_validation_core_loss_forced,shadow_validation_mae_forced,H_architecture,standard_patience_exhausted,forced_patience_event,checkpoint_epoch_changed,test_mae_changed,patience_epoch_agrees
p07__smooth__cohort406__subset506__model1107__n40__time_scaled__standard_early_stop,406,506,1107,time_scaled,0.2687654495239258,100,100,max_epochs_reached,,100,100,0.363233357667923,0.42443814873695374,p07__smooth__cohort406__subset506__model1107__n40__time_scaled__forced_horizon,0.2687654495239258,100,100,max_epochs_reached,,100,100,0.363233357667923,0.42443814873695374,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1108__n40__none__standard_early_stop,406,506,1108,none,0.3161821961402893,100,100,max_epochs_reached,,100,100,0.44636642932891846,0.489518940448761,p07__smooth__cohort406__subset506__model1108__n40__none__forced_horizon,0.3161821961402893,100,100,max_epochs_reached,,100,100,0.44636642932891846,0.489518940448761,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1108__n40__time_scaled__standard_early_stop,406,506,1108,time_scaled,0.2655979990959167,100,100,max_epochs_reached,,100,100,0.3556021749973297,0.4109709858894348,p07__smooth__cohort406__subset506__model1108__n40__time_scaled__forced_horizon,0.2655979990959167,100,100,max_epochs_reached,,100,100,0.3556021749973297,0.4109709858894348,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1109__n40__none__standard_early_stop,406,506,1109,none,0.3020364940166473,100,100,max_epochs_reached,,100,100,0.42175430059432983,0.49333420395851135,p07__smooth__cohort406__subset506__model1109__n40__none__forced_horizon,0.3020364940166473,100,100,max_epochs_reached,,100,100,0.42175430059432983,0.49333420395851135,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1109__n40__time_scaled__standard_early_stop,406,506,1109,time_scaled,0.2732135355472564,100,100,max_epochs_reached,,100,100,0.34067589044570923,0.41429898142814636,p07__smooth__cohort406__subset506__model1109__n40__time_scaled__forced_horizon,0.2732135355472564,100,100,max_epochs_reached,,100,100,0.34067589044570923,0.41429898142814636,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1110__n40__none__standard_early_stop,406,506,1110,none,0.3052919805049896,100,100,max_epochs_reached,,100,100,0.41467052698135376,0.47246187925338745,p07__smooth__cohort406__subset506__model1110__n40__none__forced_horizon,0.3052919805049896,100,100,max_epochs_reached,,100,100,0.41467052698135376,0.47246187925338745,0.0,False,False,False,False,True
p07__smooth__cohort406__subset506__model1110__n40__time_scaled__standard_early_stop,406,506,1110,time_scaled,0.2670006155967712,100,100,max_epochs_reached,,100,100,0.35076624155044556,0.4148523211479187,p07__smooth__cohort406__subset506__model1110__n40__time_scaled__forced_horizon,0.2670006155967712,100,100,max_epochs_reached,,100,100,0.35076624155044556,0.4148523211479187,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1101__n40__none__standard_early_stop,407,507,1101,none,0.3294597864151001,54,54,patience_exhausted,54.0,42,39,0.5557379722595215,0.43465349078178406,p07__smooth__cohort407__subset507__model1101__n40__none__forced_horizon,0.3018235564231872,100,100,max_epochs_reached,54.0,100,100,0.5104790329933167,0.3996545970439911,0.027636229991912897,True,True,True,True,True
p07__smooth__cohort407__subset507__model1101__n40__time_scaled__standard_early_stop,407,507,1101,time_scaled,0.2757656872272491,100,100,max_epochs_reached,,100,100,0.4557049870491028,0.34997016191482544,p07__smooth__cohort407__subset507__model1101__n40__time_scaled__forced_horizon,0.2757656872272491,100,100,max_epochs_reached,,100,100,0.4557049870491028,0.34997016191482544,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1102__n40__none__standard_early_stop,407,507,1102,none,0.3093146085739136,100,100,max_epochs_reached,,100,100,0.5330836772918701,0.413408100605011,p07__smooth__cohort407__subset507__model1102__n40__none__forced_horizon,0.3093146085739136,100,100,max_epochs_reached,,100,100,0.5330836772918701,0.413408100605011,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1102__n40__time_scaled__standard_early_stop,407,507,1102,time_scaled,0.2623067498207092,100,100,max_epochs_reached,,100,100,0.4212152361869812,0.3236721456050873,p07__smooth__cohort407__subset507__model1102__n40__time_scaled__forced_horizon,0.2623067498207092,100,100,max_epochs_reached,,100,100,0.4212152361869812,0.3236721456050873,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1103__n40__none__standard_early_stop,407,507,1103,none,0.2829478979110718,100,100,max_epochs_reached,,100,100,0.4453941583633423,0.3520117998123169,p07__smooth__cohort407__subset507__model1103__n40__none__forced_horizon,0.2829478979110718,100,100,max_epochs_reached,,100,100,0.4453941583633423,0.3520117998123169,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1103__n40__time_scaled__standard_early_stop,407,507,1103,time_scaled,0.323786199092865,59,59,patience_exhausted,59.0,47,59,0.5329034924507141,0.4075748920440674,p07__smooth__cohort407__subset507__model1103__n40__time_scaled__forced_horizon,0.2657787501811981,100,100,max_epochs_reached,59.0,100,100,0.4375365376472473,0.3298144042491913,0.05800744891166687,True,True,True,True,True
p07__smooth__cohort407__subset507__model1104__n40__none__standard_early_stop,407,507,1104,none,0.2843872606754303,100,100,max_epochs_reached,,100,100,0.4544214606285095,0.36458820104599,p07__smooth__cohort407__subset507__model1104__n40__none__forced_horizon,0.2843872606754303,100,100,max_epochs_reached,,100,100,0.4544214606285095,0.36458820104599,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1104__n40__time_scaled__standard_early_stop,407,507,1104,time_scaled,0.2734043300151825,100,100,max_epochs_reached,,100,100,0.44692111015319824,0.3387967646121979,p07__smooth__cohort407__subset507__model1104__n40__time_scaled__forced_horizon,0.2734043300151825,100,100,max_epochs_reached,,100,100,0.44692111015319824,0.3387967646121979,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1105__n40__none__standard_early_stop,407,507,1105,none,0.3054820895195007,100,100,max_epochs_reached,,100,100,0.517634928226471,0.4037928581237793,p07__smooth__cohort407__subset507__model1105__n40__none__forced_horizon,0.3054820895195007,100,100,max_epochs_reached,,100,100,0.517634928226471,0.4037928581237793,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1105__n40__time_scaled__standard_early_stop,407,507,1105,time_scaled,0.2505710422992706,100,100,max_epochs_reached,,100,100,0.39075738191604614,0.30156537890434265,p07__smooth__cohort407__subset507__model1105__n40__time_scaled__forced_horizon,0.2505710422992706,100,100,max_epochs_reached,,100,100,0.39075738191604614,0.30156537890434265,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1106__n40__none__standard_early_stop,407,507,1106,none,0.2882921397686004,100,100,max_epochs_reached,,100,100,0.47328007221221924,0.3728265166282654,p07__smooth__cohort407__subset507__model1106__n40__none__forced_horizon,0.2882921397686004,100,100,max_epochs_reached,,100,100,0.47328007221221924,0.3728265166282654,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1106__n40__time_scaled__standard_early_stop,407,507,1106,time_scaled,0.2514744400978088,100,100,max_epochs_reached,,100,100,0.3969576954841614,0.2989480793476105,p07__smooth__cohort407__subset507__model1106__n40__time_scaled__forced_horizon,0.2514744400978088,100,100,max_epochs_reached,,100,100,0.3969576954841614,0.2989480793476105,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1107__n40__none__standard_early_stop,407,507,1107,none,0.3069284558296203,100,100,max_epochs_reached,,100,100,0.5170662999153137,0.4094070494174957,p07__smooth__cohort407__subset507__model1107__n40__none__forced_horizon,0.3069284558296203,100,100,max_epochs_reached,,100,100,0.5170662999153137,0.4094070494174957,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1107__n40__time_scaled__standard_early_stop,407,507,1107,time_scaled,0.2931581735610962,100,100,max_epochs_reached,,100,100,0.47849512100219727,0.37433895468711853,p07__smooth__cohort407__subset507__model1107__n40__time_scaled__forced_horizon,0.2931581735610962,100,100,max_epochs_reached,,100,100,0.47849512100219727,0.37433895468711853,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1108__n40__none__standard_early_stop,407,507,1108,none,0.3194881379604339,100,100,max_epochs_reached,,100,100,0.5631693601608276,0.43533894419670105,p07__smooth__cohort407__subset507__model1108__n40__none__forced_horizon,0.3194881379604339,100,100,max_epochs_reached,,100,100,0.5631693601608276,0.43533894419670105,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1108__n40__time_scaled__standard_early_stop,407,507,1108,time_scaled,0.2700619697570801,100,100,max_epochs_reached,,100,100,0.44721436500549316,0.3433645963668823,p07__smooth__cohort407__subset507__model1108__n40__time_scaled__forced_horizon,0.2700619697570801,100,100,max_epochs_reached,,100,100,0.44721436500549316,0.3433645963668823,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1109__n40__none__standard_early_stop,407,507,1109,none,0.2919319570064544,100,100,max_epochs_reached,,100,100,0.48508521914482117,0.3919968903064728,p07__smooth__cohort407__subset507__model1109__n40__none__forced_horizon,0.2919319570064544,100,100,max_epochs_reached,,100,100,0.48508521914482117,0.3919968903064728,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1109__n40__time_scaled__standard_early_stop,407,507,1109,time_scaled,0.2651359438896179,100,100,max_epochs_reached,,100,100,0.43317943811416626,0.32829636335372925,p07__smooth__cohort407__subset507__model1109__n40__time_scaled__forced_horizon,0.2651359438896179,100,100,max_epochs_reached,,100,100,0.43317943811416626,0.32829636335372925,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1110__n40__none__standard_early_stop,407,507,1110,none,0.3092976212501526,100,100,max_epochs_reached,,100,100,0.5358556509017944,0.4138577878475189,p07__smooth__cohort407__subset507__model1110__n40__none__forced_horizon,0.3092976212501526,100,100,max_epochs_reached,,100,100,0.5358556509017944,0.4138577878475189,0.0,False,False,False,False,True
p07__smooth__cohort407__subset507__model1110__n40__time_scaled__standard_early_stop,407,507,1110,time_scaled,0.2796609103679657,100,100,max_epochs_reached,,100,100,0.46203601360321045,0.36090630292892456,p07__smooth__cohort407__subset507__model1110__n40__time_scaled__forced_horizon,0.2796609103679657,100,100,max_epochs_reached,,100,100,0.46203601360321045,0.36090630292892456,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1101__n40__none__standard_early_stop,408,508,1101,none,0.2924774289131164,100,100,max_epochs_reached,,100,100,0.2527027428150177,0.32946380972862244,p07__smooth__cohort408__subset508__model1101__n40__none__forced_horizon,0.2924774289131164,100,100,max_epochs_reached,,100,100,0.2527027428150177,0.32946380972862244,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1101__n40__time_scaled__standard_early_stop,408,508,1101,time_scaled,0.2634483575820923,100,100,max_epochs_reached,,100,100,0.2603533864021301,0.2951233386993408,p07__smooth__cohort408__subset508__model1101__n40__time_scaled__forced_horizon,0.2634483575820923,100,100,max_epochs_reached,,100,100,0.2603533864021301,0.2951233386993408,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1102__n40__none__standard_early_stop,408,508,1102,none,0.2999062538146972,100,100,max_epochs_reached,,100,100,0.25631508231163025,0.3374308943748474,p07__smooth__cohort408__subset508__model1102__n40__none__forced_horizon,0.2999062538146972,100,100,max_epochs_reached,,100,100,0.25631508231163025,0.3374308943748474,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1102__n40__time_scaled__standard_early_stop,408,508,1102,time_scaled,0.2480734884738922,100,100,max_epochs_reached,,100,100,0.25244227051734924,0.2983202636241913,p07__smooth__cohort408__subset508__model1102__n40__time_scaled__forced_horizon,0.2480734884738922,100,100,max_epochs_reached,,100,100,0.25244227051734924,0.2983202636241913,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1103__n40__none__standard_early_stop,408,508,1103,none,0.2715866267681122,100,100,max_epochs_reached,,100,100,0.24828344583511353,0.3204520642757416,p07__smooth__cohort408__subset508__model1103__n40__none__forced_horizon,0.2715866267681122,100,100,max_epochs_reached,,100,100,0.24828344583511353,0.3204520642757416,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1103__n40__time_scaled__standard_early_stop,408,508,1103,time_scaled,0.264908105134964,100,100,max_epochs_reached,,100,100,0.2531502842903137,0.30586597323417664,p07__smooth__cohort408__subset508__model1103__n40__time_scaled__forced_horizon,0.264908105134964,100,100,max_epochs_reached,,100,100,0.2531502842903137,0.30586597323417664,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1104__n40__none__standard_early_stop,408,508,1104,none,0.2764838635921478,100,100,max_epochs_reached,,100,100,0.2498057782649994,0.32054316997528076,p07__smooth__cohort408__subset508__model1104__n40__none__forced_horizon,0.2764838635921478,100,100,max_epochs_reached,,100,100,0.2498057782649994,0.32054316997528076,0.0,False,False,False,False,True
p07__smooth__cohort408__subset508__model1104__n40__time_scaled__standard_early_stop,408,508,1104,time_scaled,0.2639392018318176,100,100,max_epochs_reached,,100,100,0.26102960109710693,0.29608452320098877,p07__smooth__cohort408__subset508__model1104__n40__time_scaled__forced_horizon,0.2639392018318176,100,100,max_epochs_reached,,100,100,0.26102960109710693,0.29608452320098877,0.0,False,False,False,False,True
