cohort_seed,subset_seed,model_seed,mae_control_standard,mae_time_scaled_standard,mae_control_forced,mae_time_scaled_forced,Delta_standard,Delta_forced,G,H_time_scaled,H_control
406,506,1101,0.3025831580162048,0.273197740316391,0.3025831580162048,0.273197740316391,0.029385417699813787,0.029385417699813787,0.0,0.0,0.0
406,506,1102,0.3089674115180969,0.2602082788944244,0.3089674115180969,0.2602082788944244,0.04875913262367254,0.04875913262367254,0.0,0.0,0.0
406,506,1103,0.2829635143280029,0.2615249454975128,0.2829635143280029,0.2615249454975128,0.021438568830490057,0.021438568830490057,0.0,0.0,0.0
406,506,1104,0.311658650636673,0.2660888433456421,0.311658650636673,0.2660888433456421,0.045569807291030884,0.045569807291030884,0.0,0.0,0.0
406,506,1105,0.3035580515861511,0.2477027922868728,0.3035580515861511,0.2477027922868728,0.055855259299278315,0.055855259299278315,0.0,0.0,0.0
406,506,1106,0.2840568721294403,0.2478282451629638,0.2840568721294403,0.2478282451629638,0.036228626966476496,0.036228626966476496,0.0,0.0,0.0
406,506,1107,0.3012870848178863,0.2687654495239258,0.3012870848178863,0.2687654495239258,0.032521635293960516,0.032521635293960516,0.0,0.0,0.0
406,506,1108,0.3161821961402893,0.2655979990959167,0.3161821961402893,0.2655979990959167,0.050584197044372614,0.050584197044372614,0.0,0.0,0.0
406,506,1109,0.3020364940166473,0.2732135355472564,0.3020364940166473,0.2732135355472564,0.02882295846939087,0.02882295846939087,0.0,0.0,0.0
406,506,1110,0.3052919805049896,0.2670006155967712,0.3052919805049896,0.2670006155967712,0.03829136490821844,0.03829136490821844,0.0,0.0,0.0
407,507,1101,0.3294597864151001,0.2757656872272491,0.3018235564231872,0.2757656872272491,0.05369409918785101,0.02605786919593811,-0.027636229991912897,0.0,0.027636229991912897
407,507,1102,0.3093146085739136,0.2623067498207092,0.3093146085739136,0.2623067498207092,0.0470078587532044,0.0470078587532044,0.0,0.0,0.0
407,507,1103,0.2829478979110718,0.323786199092865,0.2829478979110718,0.2657787501811981,-0.04083830118179321,0.017169147729873657,0.05800744891166687,0.05800744891166687,0.0
407,507,1104,0.2843872606754303,0.2734043300151825,0.2843872606754303,0.2734043300151825,0.010982930660247803,0.010982930660247803,0.0,0.0,0.0
407,507,1105,0.3054820895195007,0.2505710422992706,0.3054820895195007,0.2505710422992706,0.0549110472202301,0.0549110472202301,0.0,0.0,0.0
407,507,1106,0.2882921397686004,0.2514744400978088,0.2882921397686004,0.2514744400978088,0.036817699670791626,0.036817699670791626,0.0,0.0,0.0
407,507,1107,0.3069284558296203,0.2931581735610962,0.3069284558296203,0.2931581735610962,0.013770282268524114,0.013770282268524114,0.0,0.0,0.0
407,507,1108,0.3194881379604339,0.2700619697570801,0.3194881379604339,0.2700619697570801,0.049426168203353826,0.049426168203353826,0.0,0.0,0.0
