model,ablation,n_train,n_fit,n_validation,seed,cohort_seed,subset_seed,model_seed,split,site_or_shift,metric,value,trainable_parameters,backend,world,benchmark
flow_jump_observation,no_jump,5,4,1,201,101,201,301,test,all,event_roc_auc,0.49502592142736046,5554,,informative_observation,low_n
flow_jump_observation,no_jump,5,4,1,201,101,201,301,test,all,latent_aligned_r2,0.5746102189106829,5554,,informative_observation,low_n
flow_jump_observation,no_jump,5,4,1,201,101,201,301,test,all,mae,0.5838949680328369,5554,,informative_observation,low_n
flow_jump_observation,no_jump,5,4,1,201,101,201,301,test,all,nll,1.4372821412907002,5554,,informative_observation,low_n
flow_jump_observation,no_jump,5,4,1,201,101,201,301,test,all,rmse,0.9989974539650824,5554,,informative_observation,low_n
flow_jump_observation,no_observation_head,5,4,1,201,101,201,301,test,all,coverage_90,0.8356571485177939,6967,,informative_observation,low_n
flow_jump_observation,no_observation_head,5,4,1,201,101,201,301,test,all,event_brier,0.18410065678322582,6967,,informative_observation,low_n
flow_jump_observation,no_observation_head,5,4,1,201,101,201,301,test,all,event_log_loss,0.5591171787287008,6967,,informative_observation,low_n
flow_jump_observation,no_observation_head,5,4,1,201,101,201,301,test,all,event_roc_auc,0.513673707950379,6967,,informative_observation,low_n
flow_jump_observation,no_observation_head,5,4,1,201,101,201,301,test,all,latent_aligned_r2,0.5738108825582431,6967,,informative_observation,low_n
flow_jump_observation,no_observation_head,5,4,1,201,101,201,301,test,all,mae,0.6580477356910706,6967,,informative_observation,low_n
flow_jump_observation,no_observation_head,5,4,1,201,101,201,301,test,all,nll,1.2040602276682997,6967,,informative_observation,low_n
flow_jump_observation,no_observation_head,5,4,1,201,101,201,301,test,all,rmse,1.1888694897274201,6967,,informative_observation,low_n
flow_jump_observation,no_prob_scale,5,4,1,201,101,201,301,test,all,coverage_90,0.8860546323584041,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,5,4,1,201,101,201,301,test,all,event_brier,0.17267815366054082,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,5,4,1,201,101,201,301,test,all,event_log_loss,0.5346884451041517,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,5,4,1,201,101,201,301,test,all,event_roc_auc,0.5118558187021074,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,5,4,1,201,101,201,301,test,all,latent_aligned_r2,0.5779597469236691,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,5,4,1,201,101,201,301,test,all,mae,0.6616332530975342,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,5,4,1,201,101,201,301,test,all,nll,1.626096347531289,7642,,informative_observation,low_n
flow_jump_observation,no_prob_scale,5,4,1,201,101,201,301,test,all,rmse,1.189250058032795,7642,,informative_observation,low_n
flow_jump_observation,no_representation,5,4,1,201,101,201,301,test,all,coverage_90,0.8897941999554224,6490,,informative_observation,low_n
flow_jump_observation,no_representation,5,4,1,201,101,201,301,test,all,event_brier,0.19030622091018648,6490,,informative_observation,low_n
flow_jump_observation,no_representation,5,4,1,201,101,201,301,test,all,event_log_loss,0.5721185511351484,6490,,informative_observation,low_n
flow_jump_observation,no_representation,5,4,1,201,101,201,301,test,all,event_roc_auc,0.488557486791258,6490,,informative_observation,low_n
flow_jump_observation,no_representation,5,4,1,201,101,201,301,test,all,latent_aligned_r2,0.6030700942892135,6490,,informative_observation,low_n
flow_jump_observation,no_representation,5,4,1,201,101,201,301,test,all,mae,0.8768789768218994,6490,,informative_observation,low_n
flow_jump_observation,no_representation,5,4,1,201,101,201,301,test,all,nll,1.3665774836068103,6490,,informative_observation,low_n
flow_jump_observation,no_representation,5,4,1,201,101,201,301,test,all,rmse,1.5791565950956563,6490,,informative_observation,low_n
flow_jump_observation,none,5,4,1,201,101,201,301,test,all,coverage_90,0.8358057406077416,7642,,informative_observation,low_n
flow_jump_observation,none,5,4,1,201,101,201,301,test,all,event_brier,0.18393356595751228,7642,,informative_observation,low_n
flow_jump_observation,none,5,4,1,201,101,201,301,test,all,event_log_loss,0.5587660722030735,7642,,informative_observation,low_n
flow_jump_observation,none,5,4,1,201,101,201,301,test,all,event_roc_auc,0.5136476054391157,7642,,informative_observation,low_n
flow_jump_observation,none,5,4,1,201,101,201,301,test,all,latent_aligned_r2,0.5740425217286723,7642,,informative_observation,low_n
flow_jump_observation,none,5,4,1,201,101,201,301,test,all,mae,0.658004879951477,7642,,informative_observation,low_n
flow_jump_observation,none,5,4,1,201,101,201,301,test,all,nll,1.2015115048486231,7642,,informative_observation,low_n
flow_jump_observation,none,5,4,1,201,101,201,301,test,all,rmse,1.1887751809871752,7642,,informative_observation,low_n
gradient_boosting,none,5,4,1,201,101,201,301,test,all,mae,0.44355671897410204,0,,informative_observation,low_n
